code,name,market,종가,등락률,거래대금,시가총액
000720,현대건설,KOSPI,124500,-0.24,13921000000,13863792742500
095610,테스,KOSDAQ,144800,4.85,13324000000,2803328000000
426030,TIME 미국나스닥100액티브,KOSPI,47985,2.01,12847000000,2631497400000
007610,선도전기,KOSPI,4895,-1.01,12418000000,88110000000
278470,에이피알,KOSPI,363000,-1.09,12124000000,13590050265000
062040,산일전기,KOSPI,203500,-3.78,11996000000,6235819975000
042660,한화오션,KOSPI,81800,-1.33,11950000000,25064615629200
017670,SK텔레콤,KOSPI,87800,-1.57,11813000000,18858566653400
319400,현대무벡스,KOSDAQ,21700,-3.56,11635000000,2416860046300
310210,보로노이,KOSDAQ,155900,18.11,11571000000,2889779237200
347700,스피어,KOSDAQ,23650,-2.07,11455000000,1219189711300
010140,삼성중공업,KOSPI,20500,-1.44,11424000000,18040000000000
103590,일진전기,KOSPI,73300,-4.31,11404000000,3495339087000
035720,카카오,KOSPI,33150,-1.19,10981000000,14685446784450
010950,S-Oil,KOSPI,152700,2.14,10871000000,17191392338400
064290,인텍플러스,KOSDAQ,47400,1.39,10260000000,614189197200
203650,드림시큐리티,KOSDAQ,2815,-0.53,9985000000,286298122460
051910,LG화학,KOSPI,261500,-2.06,9926000000,18459897694500
039030,이오테크닉스,KOSDAQ,473500,4.41,9879000000,5833306925000
058470,리노공업,KOSDAQ,70000,0.57,9875000000,5334829500000
316140,우리금융지주,KOSPI,36350,0.69,9810000000,26782191346950
006260,LS,KOSPI,319500,-1.84,9768000000,9968400000000
052710,아모텍,KOSDAQ,16650,-2.06,9579000000,311035320000
009540,HD한국조선해양,KOSPI,338500,0.3,9553000000,23956699766000
222800,심텍,KOSDAQ,127000,1.03,9545000000,4887534802000
064350,현대로템,KOSPI,119900,-2.12,9510000000,13086160930700
456010,아이씨티케이,KOSDAQ,21650,-4.63,9423000000,313975877500
001210,금호전기,KOSPI,10510,-3.13,9353000000,131652106660
267260,HD현대일렉트릭,KOSPI,720000,-0.69,9335000000,25953937200000
475150,SK이터닉스,KOSPI,50100,-1.57,9272000000,1706756900400
178320,서진시스템,KOSDAQ,33150,-2.07,9236000000,2112433660350
042370,비츠로테크,KOSDAQ,11420,-0.17,9043000000,299204285500
160190,하이젠알앤엠,KOSDAQ,29500,7.66,9008000000,911196000000
298380,에이비엘바이오,KOSDAQ,54800,-2.14,8964000000,3068112972400
050890,쏠리드,KOSDAQ,9470,-2.97,8899000000,575364376980
388790,라이콤,KOSDAQ,5370,5.92,8623000000,164398039200
265740,엔에프씨,KOSDAQ,7780,-5.7,8507000000,138978808000
001520,동양,KOSPI,1342,-0.81,8422000000,143757766944
018260,삼성에스디에스,KOSPI,225500,2.73,8158000000,17448693900000
131290,티에스이,KOSDAQ,255000,4.94,7920000000,2820664395000
004310,현대약품,KOSPI,9880,-1.89,7731000000,316160000000
024060,흥구석유,KOSDAQ,12910,0.23,7597000000,193650000000
095340,ISC,KOSDAQ,198300,6.44,7455000000,4203376601400
003490,대한항공,KOSPI,28950,-1.19,7353000000,10659986630550
064400,LG씨엔에스,KOSPI,70100,-0.71,7334000000,6791704954800
031980,피에스케이홀딩스,KOSDAQ,169300,5.88,7234000000,3650513473500
226950,올릭스,KOSDAQ,112100,0.45,7130000000,2550335421900
321370,센서뷰,KOSDAQ,1763,-5.37,7056000000,124507028513
033780,KT&G,KOSPI,173700,0.99,7045000000,18031876207200
098460,고영,KOSDAQ,28050,1.45,7032000000,1913128174650
240550,동방메디컬,KOSDAQ,6750,15.78,6995000000,141304095000
086280,현대글로비스,KOSPI,199100,-2.16,6959000000,14932500000000
328130,루닛,KOSDAQ,9920,12.22,6953000000,738625145600
068270,셀트리온,KOSPI,180200,0.45,6925000000,41917615115200
200470,에이팩트,KOSDAQ,7950,9.81,6911000000,348397270200
253590,네오셈,KOSDAQ,12780,4.41,6900000000,560647915920
347850,디앤디파마텍,KOSDAQ,44600,-1.55,6795000000,2051430029400
032640,LG유플러스,KOSPI,14490,3.13,6765000000,6149957836680
247540,에코프로비엠,KOSDAQ,103800,-1.05,6609000000,10154799049200
119850,지엔씨에너지,KOSDAQ,51250,-5.44,6511000000,843006586250
161890,한국콜마,KOSPI,143200,-1.38,6494000000,3380247026400
138080,오이솔루션,KOSDAQ,27600,0.55,6470000000,341626120800
229640,LS에코에너지,KOSPI,58300,-3.64,6406000000,1785430445700
083650,비에이치아이,KOSDAQ,62100,-3.42,6381000000,1921645687500
100590,머큐리,KOSDAQ,5050,2.23,6364000000,86554702250
002990,금호건설,KOSPI,13070,-2.02,6299000000,486987860180
950160,코오롱티슈진,KOSDAQ,15280,-4.32,6284000000,1298344044800
023160,태광,KOSDAQ,28100,7.87,6258000000,726869500200
032500,케이엠더블유,KOSDAQ,19420,-0.1,6225000000,819362833420
478340,나라스페이스테크놀로지,KOSDAQ,14310,-1.04,6048000000,166145038650
080580,오킨스전자,KOSDAQ,23900,7.66,6028000000,504073824500
092870,엑시콘,KOSDAQ,38450,8.62,5927000000,501803144650
010580,에스엠벡셀,KOSPI,2630,5.2,5769000000,292592128800
082740,한화엔진,KOSPI,50300,-1.95,5741000000,4197391242600
000810,삼성화재,KOSPI,650000,0.31,5733000000,29020857450000
115440,우리넷,KOSDAQ,10030,-1.76,5660000000,108266748760
389470,인벤티지랩,KOSDAQ,26600,4.52,5658000000,353985032800
267250,HD현대,KOSPI,210500,1.2,5635000000,16628044392500
078600,대주전자재료,KOSDAQ,88100,0.11,5632000000,1383534557800
352820,하이브,KOSPI,164100,-1.08,5609000000,7073831787600
089970,브이엠,KOSDAQ,54700,-0.73,5573000000,1440074045500
006800,미래에셋증권,KOSPI,31500,-0.47,5558000000,17105163106500
020150,롯데에너지머티리얼즈,KOSPI,42050,-0.59,5526000000,2201967719150
125490,한라캐스트,KOSDAQ,11960,-0.75,5428000000,436568129920
387690,레메디,KOSDAQ,16450,5.18,5379000000,125444261950
483650,달바글로벌,KOSPI,182900,1.44,5356000000,2290989853500
015760,한국전력,KOSPI,30800,0.16,5328000000,19772493571600
003350,한국화장품제조,KOSPI,15110,-4.19,5287000000,342392600000
084370,유진테크,KOSDAQ,140500,1.81,5274000000,3219703901000
064260,다날,KOSDAQ,4440,-0.11,5124000000,335865829080
053690,한미글로벌,KOSPI,21750,-1.81,5121000000,238326712500
112610,씨에스윈드,KOSPI,50100,-2.53,5080000000,2112787290300
067290,JW신약,KOSDAQ,3345,-1.33,5008000000,187444109535
058610,에스피지,KOSDAQ,98700,-0.7,5006000000,2188905432000
088350,한화생명,KOSPI,5770,-1.54,4893000000,5011418100000
207940,삼성바이오로직스,KOSPI,1397000,-0.07,4865000000,64668458547000
214450,파마리서치,KOSDAQ,327000,-0.15,4782000000,3397414896000
192650,드림텍,KOSPI,7870,3.01,4778000000,518529344230
274090,켄코아에어로스페이스,KOSDAQ,12690,-4.01,4707000000,174794686830
340810,시선AI,KOSDAQ,4540,9.4,4671000000,63330648280
128940,한미약품,KOSPI,506000,0.6,4650000000,6482361446000
375500,DL이앤씨,KOSPI,83600,-3.8,4618000000,3234786882800
257720,실리콘투,KOSDAQ,40750,-1.93,4533000000,2672232269000
204320,HL만도,KOSPI,47200,-2.07,4532000000,2216376064000
140410,메지온,KOSDAQ,78500,4.53,4523000000,2403801409000
028300,HLB,KOSDAQ,30250,2.02,4402000000,4029246245750
090460,비에이치,KOSPI,19740,-3.94,4347000000,665465760120
0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,KOSPI,12015,1.26,4272000000,269136000000
417200,LS머트리얼즈,KOSDAQ,13470,-0.22,4250000000,911281316730
267270,HD건설기계,KOSPI,138000,-1.29,4157000000,6554639268000
003230,삼양식품,KOSPI,1294000,-0.46,4150000000,9747721410000
413630,씨피시스템,KOSDAQ,4570,3.63,4137000000,166515284850
004020,현대제철,KOSPI,35550,-1.25,4113000000,4743997656750
087010,펩트론,KOSDAQ,159900,2.5,4057000000,3728444265000
252990,샘씨엔에스,KOSDAQ,17810,2.83,4037000000,1072480603090
126340,비나텍,KOSDAQ,81000,0.37,4013000000,581613534000
004170,신세계,KOSPI,362500,0.0,4001000000,3423878112500
192820,코스맥스,KOSPI,271000,-0.73,3966000000,3075716939000
018880,한온시스템,KOSPI,3330,-3.34,3958000000,3417416968860
016360,삼성증권,KOSPI,86400,1.29,3943000000,7715520000000
047810,한국항공우주,KOSPI,130000,0.15,3934000000,12671763910000
195870,해성디에스,KOSPI,56600,-1.57,3916000000,962200000000
122640,예스티,KOSDAQ,31150,5.77,3872000000,674438773750
493280,아이엠바이오로직스,KOSDAQ,13830,-11.97,3843000000,205189472670
0182R0,1Q K반도체TOP2+,KOSPI,10920,2.54,3797000000,342342000000
127120,제이에스링크,KOSDAQ,33750,3.85,3792000000,1250929136250
100790,미래에셋벤처투자,KOSDAQ,16990,-3.79,3773000000,902518620220
034220,LG디스플레이,KOSPI,8420,0.24,3746000000,4210000000000
126730,코칩,KOSDAQ,23600,-1.05,3725000000,206974973600
003530,한화투자증권,KOSPI,4645,3.34,3702000000,996574414875
021240,코웨이,KOSPI,102100,0.99,3666000000,7225354194600
078930,GS,KOSPI,113500,-0.35,3638000000,10543638682500
457370,한켐,KOSDAQ,11480,-1.54,3606000000,92610698320
001450,현대해상,KOSPI,48750,-0.1,3595000000,4155852187500
443060,HD현대마린솔루션,KOSPI,235500,-4.27,3584000000,10558279830000
281820,케이씨텍,KOSPI,75200,3.44,3576000000,1488859307200
092780,DYP,KOSPI,3810,-7.07,3551000000,50171832600
314130,지놈앤컴퍼니,KOSDAQ,3900,14.87,3515000000,203967757500
000880,한화,KOSPI,128900,-2.72,3494000000,6874094823300
033160,엠케이전자,KOSDAQ,14430,-1.37,3467000000,354459356940
036810,에프에스티,KOSDAQ,29500,8.86,3465000000,638668775500
094480,갤럭시아머니트리,KOSDAQ,5740,4.55,3450000000,225179270120
294570,쿠콘,KOSDAQ,27450,6.6,3425000000,277018043400
440110,파두,KOSDAQ,61600,0.98,3383000000,3086839263200
454910,두산로보틱스,KOSPI,69400,0.29,3374000000,4498506612000
183300,코미코,KOSDAQ,30050,-2.59,3369000000,1543466413750
033790,피노,KOSDAQ,8030,0.38,3357000000,669074752610
054920,한컴위드,KOSDAQ,5020,1.83,3327000000,141649746620
090430,아모레퍼시픽,KOSPI,144200,0.56,3269000000,8434655847800
420770,기가비스,KOSDAQ,110100,-2.65,3266000000,1395600955800
020120,키다리스튜디오,KOSPI,7860,-6.65,3244000000,291321200760
014620,성광벤드,KOSDAQ,33200,3.43,3217000000,881704484800
456600,TIME 글로벌AI인공지능액티브,KOSPI,59992,2.01,3216000000,2152512960000
0198A0,KIWOOM 코스닥150커버드콜액티브,KOSPI,8650,0.76,3194000000,79580000000
071050,한국금융지주,KOSPI,182600,0.16,3180000000,10175566139200
443670,에스피소프트,KOSDAQ,5200,-4.94,3137000000,124854932800
277810,레인보우로보틱스,KOSDAQ,432500,-0.8,3129000000,8390438585000
158430,아톤,KOSDAQ,5700,0.88,3109000000,139547924400
145020,휴젤,KOSDAQ,210500,-1.64,3097000000,2634443916500
049080,기가레인,KOSDAQ,10280,-0.96,3088000000,87260073520
092220,KEC,KOSPI,3105,8.76,3070000000,124673909940
417840,저스템,KOSDAQ,15150,2.3,3066000000,346471122150
125020,티씨머티리얼즈,KOSDAQ,6200,-5.2,3061000000,217239010000
086450,동국제약,KOSDAQ,21300,3.15,3055000000,963407946000
950250,테라뷰,KOSDAQ,3460,15.33,3017000000,123511384720
462900,KoAct 바이오헬스케어액티브,KOSPI,12800,0.63,3004000000,335360000000
0015N0,아로마티카,KOSDAQ,13300,-1.99,2977000000,167273062600
023530,롯데쇼핑,KOSPI,110000,-3.0,2968000000,3111763050000
019210,와이지-원,KOSDAQ,12630,-5.04,2960000000,469756784640
141080,리가켐바이오,KOSDAQ,82100,-0.12,2955000000,3039294217800
030200,KT,KOSPI,53200,0.38,2905000000,13407553642000
452280,한선엔지니어링,KOSDAQ,13200,-2.22,2902000000,254069244000
096530,씨젠,KOSDAQ,34450,1.92,2853000000,1610000148900
330860,네패스아크,KOSDAQ,27850,5.69,2831000000,339325653250
062970,한국첨단소재,KOSDAQ,3080,3.01,2817000000,92777062840
011790,SKC,KOSPI,88800,1.25,2800000000,4404328862400
0039P0,매드업,KOSDAQ,8010,4.03,2783000000,150647274000
064760,티씨케이,KOSDAQ,269000,0.19,2763000000,3007262904000
307950,현대오토에버,KOSPI,362500,-1.89,2732000000,9941193475000
003550,LG,KOSPI,111200,-0.63,2729000000,16812550844800
010130,고려아연,KOSPI,1123000,-0.09,2709000000,23440344187000
389500,에스비비테크,KOSDAQ,41350,1.22,2689000000,275534567200
290550,디케이티,KOSDAQ,21000,-0.94,2629000000,420025830000
036090,위지트,KOSDAQ,1449,6.78,2625000000,61655694786
014950,삼익제약,KOSDAQ,9800,-1.51,2607000000,98662362400
356860,티엘비,KOSDAQ,37700,0.67,2598000000,893537502000
205100,엑셈,KOSDAQ,1475,14.96,2551000000,99620576650
456070,이엔셀,KOSDAQ,6050,-8.61,2550000000,66728577850
077360,덕산하이메탈,KOSDAQ,11950,2.93,2548000000,542972173900
000250,삼천당제약,KOSDAQ,161600,1.25,2538000000,3790727475200
033640,네패스,KOSDAQ,27250,2.06,2518000000,628363254500
005290,동진쎄미켐,KOSDAQ,41950,1.82,2516000000,2138196785700
005830,DB손해보험,KOSPI,188600,0.91,2502000000,12353365821400
