code,name,종가,등락률,거래대금,거래량
005930,삼성전자,281000,2.55,2237070000000,7970755
000660,SK하이닉스,1918000,2.68,2639995000000,1373970
402340,SK스퀘어,1163000,3.19,291184000000,250389
009150,삼성전기,1518000,6.23,834523000000,549728
373220,LG에너지솔루션,351500,-0.14,31437000000,88896
005380,현대차,365500,1.81,94354000000,257666
207940,삼성바이오로직스,1397000,-0.36,13575000000,9696
105560,KB금융,175900,-0.9,53739000000,305786
028260,삼성물산,361500,-1.63,54696000000,148133
032830,삼성생명,291000,0.0,36950000000,125935
034020,두산에너빌리티,85900,0.7,114204000000,1326900
012450,한화에어로스페이스,1060000,-0.66,41382000000,38935
055550,신한지주,113000,-0.09,36526000000,323664
329180,HD현대중공업,452500,0.44,28882000000,64085
000270,기아,120100,0.08,39995000000,331359
006400,삼성SDI,534500,0.28,39482000000,73645
034730,SK,584000,1.57,22544000000,38491
068270,셀트리온,178900,-1.38,30714000000,170578
086790,하나금융지주,135500,-0.15,32004000000,236994
066570,LG전자,220000,8.64,197183000000,917007
012330,현대모비스,379000,1.61,56468000000,148487
010120,LS ELECTRIC,213250,2.03,58109000000,269338
035420,NAVER,202000,2.07,50538000000,249968
000810,삼성화재,644000,-1.08,23322000000,35943
298040,효성중공업,2967000,1.71,52376000000,17598
316140,우리금융지주,35750,-1.92,26345000000,733230
267260,HD현대일렉트릭,721000,0.98,25674000000,35226
005490,POSCO홀딩스,317000,0.0,28010000000,88029
042660,한화오션,81700,-0.12,16831000000,205107
009540,HD한국조선해양,340000,0.29,19653000000,57367
000150,두산,1478000,3.21,80634000000,54212
096770,SK이노베이션,140200,-0.36,54614000000,392568
010130,고려아연,1122000,-0.09,8557000000,7585
042700,한미반도체,243500,2.96,60745000000,248997
015760,한국전력,30800,-0.16,17277000000,559434
011200,HMM,20950,-0.71,2978000000,141396
017670,SK텔레콤,87200,0.23,39842000000,452841
010140,삼성중공업,20550,-0.24,16674000000,807296
051910,LG화학,256000,-0.97,19430000000,75390
006800,미래에셋증권,33250,4.07,41993000000,1243381
003550,LG,117300,5.39,12387000000,107911
033780,KT&G,170500,-1.9,20631000000,120361
018260,삼성에스디에스,226000,0.67,12787000000,56305
010950,S-Oil,150600,-2.14,34972000000,232617
267250,HD현대,206500,-2.13,15240000000,72872
024110,기업은행,20050,0.25,5624000000,280647
003670,포스코퓨처엠,178100,0.0,10307000000,57697
079550,LIG디펜스앤에어로스페이스,712000,-1.79,25425000000,35494
086280,현대글로비스,203000,0.0,16340000000,80233
035720,카카오,34150,2.86,32045000000,940486
000720,현대건설,130400,3.82,69655000000,535445
272210,한화시스템,76400,-0.13,13707000000,179121
278470,에이피알,361500,-1.23,37234000000,102630
030200,KT,53000,-0.19,4991000000,93698
011070,LG이노텍,553000,6.55,76880000000,139556
064350,현대로템,118700,-0.08,15197000000,127849
047810,한국항공우주,129800,0.15,7942000000,60841
005830,DB손해보험,183400,-2.6,15213000000,82538
003490,대한항공,30700,6.41,82931000000,2748492
307950,현대오토에버,387500,7.34,36547000000,93995
443060,HD현대마린솔루션,232000,-0.64,4438000000,18974
071050,한국금융지주,186500,1.14,24198000000,128056
006260,LS,332500,3.1,21140000000,63686
078930,GS,108900,-3.88,30424000000,277862
028050,삼성E&A,51500,-0.96,47102000000,904727
047050,포스코인터내셔널,56400,-2.42,15345000000,269076
000500,가온전선,330000,3.61,105809000000,314794
005940,NH투자증권,26350,0.19,7601000000,286562
323410,카카오뱅크,20200,0.5,5972000000,295018
180640,한진칼,142200,2.67,3129000000,22075
003230,삼양식품,1248000,-2.19,33519000000,26655
259960,크래프톤,202500,1.25,5210000000,25820
0126Z0,삼성에피스홀딩스,338500,3.52,4748000000,14127
007660,이수페타시스,114100,3.45,81111000000,695305
090430,아모레퍼시픽,141500,-2.41,12319000000,85993
016360,삼성증권,90900,3.06,22577000000,248269
047040,대우건설,18815,2.87,106145000000,5594807
161390,한국타이어앤테크놀로지,57700,-1.54,3664000000,62823
000880,한화,132200,0.69,4008000000,30358
021240,코웨이,98800,-0.7,5221000000,52641
064400,LG씨엔에스,72000,3.6,25066000000,352085
039490,키움증권,263500,-0.38,9772000000,36558
352820,하이브,159200,-2.03,22669000000,141157
267270,HD건설기계,138300,1.17,24065000000,169141
062040,산일전기,209000,1.95,30275000000,143573
128940,한미약품,501000,-0.79,16057000000,31911
001440,대한전선,32050,7.91,229654000000,7100145
032640,LG유플러스,14570,0.55,5365000000,368651
009830,한화솔루션,27550,-0.18,15754000000,569704
326030,SK바이오팜,77500,-0.13,2580000000,33222
000990,DB하이텍,131900,0.0,38476000000,291670
353200,대덕전자,114300,12.17,270405000000,2324115
175330,JB금융지주,30100,-2.9,5016000000,165587
377300,카카오페이,41200,3.26,10064000000,242754
241560,두산밥캣,58000,-0.17,3403000000,58327
000100,유한양행,74800,-1.06,6147000000,81712
052690,한전기술,132300,2.08,94800000000,722507
029780,삼성카드,42750,-1.16,3267000000,76114
088350,한화생명,5590,-3.29,16086000000,2835875
138930,BNK금융지주,15570,-1.14,3805000000,244049
004020,현대제철,35550,1.28,10353000000,289963
088980,맥쿼리인프라,9810,0.31,3475000000,355055
036570,NC,218000,5.57,10693000000,50020
454910,두산로보틱스,71350,2.51,14517000000,203190
051900,LG생활건강,296500,-0.84,6884000000,22919
066970,엘앤에프,109100,1.49,22713000000,210970
011790,SKC,89300,1.48,6627000000,73758
271560,오리온,110700,-0.45,5100000000,46122
034220,LG디스플레이,8540,0.23,15798000000,1854853
082740,한화엔진,49250,-1.3,19502000000,393517
001450,현대해상,47250,-3.77,10375000000,218499
002380,KCC,467000,0.43,5146000000,10895
001040,CJ,129800,0.85,4628000000,35852
103590,일진전기,77800,6.58,32446000000,420199
010060,OCI홀딩스,189300,-0.89,31457000000,165303
018880,한온시스템,3355,0.3,5168000000,1521114
161890,한국콜마,145100,-0.27,24213000000,165076
008930,한미사이언스,50200,-1.18,1938000000,38422
004170,신세계,358000,0.14,8339000000,23328
375500,DL이앤씨,85200,0.12,9325000000,109268
006360,GS건설,37050,1.23,27413000000,734844
111770,영원무역,71400,0.0,2328000000,32623
336260,두산퓨얼셀,47900,-0.52,20074000000,419190
023530,롯데쇼핑,110000,0.46,6199000000,56781
028670,팬오션,5730,-1.04,2998000000,521353
192820,코스맥스,266500,-3.09,7137000000,26416
011780,금호석유화학,117300,-1.76,4058000000,34359
017800,현대엘리베이터,74200,0.27,3230000000,43521
007340,DN오토모티브,49000,-0.41,2903000000,58346
139130,iM금융지주,17870,-1.11,1665000000,92998
011170,롯데케미칼,63400,-0.31,4110000000,64486
085620,미래에셋생명,20000,3.36,1737000000,87359
426030,TIME 미국나스닥100액티브,48460,1.06,27694000000,569661
097950,CJ제일제당,173600,-0.57,5702000000,32762
450080,에코프로머티,35150,2.63,3953000000,112790
489790,한화비전,48400,3.53,6013000000,123655
005440,현대지에프홀딩스,13280,0.76,2124000000,159637
009420,한올바이오파마,46350,-0.96,4098000000,87543
014680,한솔케미칼,224500,4.18,7088000000,31672
004370,농심,392000,-0.63,2438000000,6228
282330,BGF리테일,134500,-3.03,1530000000,11303
483650,달바글로벌,180000,-1.69,12357000000,68366
204320,HL만도,47150,-0.32,6878000000,144660
103140,풍산,79000,1.28,3218000000,40899
456600,TIME 글로벌AI인공지능액티브,60480,1.17,6891000000,113554
069960,현대백화점,99200,-0.7,2777000000,27833
112610,씨에스윈드,50200,-0.4,5777000000,115137
020150,롯데에너지머티리얼즈,39700,-4.11,7162000000,178710
081660,미스토홀딩스,37800,-1.82,1866000000,49147
139480,이마트,72500,-0.82,3184000000,43767
457190,이수스페셜티케미컬,65100,1.88,2915000000,44823
073240,금호타이어,6820,0.59,2726000000,398424
007070,GS리테일,23100,-0.86,1699000000,73569
