code,name,종가,등락률,거래대금
005930,삼성전자,247250,-0.7,2472744000000
000660,SK하이닉스,1682000,-0.88,4015134000000
402340,SK스퀘어,1001000,0.1,293929000000
009150,삼성전기,1316000,-1.57,366869000000
373220,LG에너지솔루션,366500,4.27,111227000000
005380,현대차,368000,-0.94,92742000000
207940,삼성바이오로직스,1414000,-0.42,29872000000
105560,KB금융,176000,-3.08,179669000000
032830,삼성생명,286000,-4.03,85123000000
028260,삼성물산,346000,-3.49,87119000000
034020,두산에너빌리티,86300,-0.8,167673000000
012450,한화에어로스페이스,1064000,-6.42,149590000000
055550,신한지주,112200,-2.09,82195000000
329180,HD현대중공업,453500,-5.32,125802000000
000270,기아,121900,-1.85,44085000000
006400,삼성SDI,547000,2.82,202696000000
068270,셀트리온,177600,-0.67,30007000000
034730,SK,549000,-3.68,43434000000
086790,하나금융지주,137700,-2.2,61590000000
012330,현대모비스,394500,-1.37,77612000000
066570,LG전자,201500,1.66,81368000000
035420,NAVER,206000,0.98,63893000000
000810,삼성화재,662000,-1.93,53102000000
010120,LS ELECTRIC,194900,-2.21,79778000000
316140,우리금융지주,36400,-1.22,82653000000
005490,POSCO홀딩스,332500,1.99,72756000000
042660,한화오션,82700,-3.73,57078000000
267260,HD현대일렉트릭,700000,-5.28,81634000000
298040,효성중공업,2688000,-4.1,102376000000
009540,HD한국조선해양,338500,-6.88,48532000000
096770,SK이노베이션,141800,3.73,127421000000
010130,고려아연,1134000,-2.49,13135000000
042700,한미반도체,222000,-1.33,106743000000
000150,두산,1293000,3.03,67951000000
015760,한국전력,31350,-1.88,35509000000
011200,HMM,20750,-2.35,12059000000
051910,LG화학,272500,1.68,41105000000
017670,SK텔레콤,88100,-2.22,55815000000
010140,삼성중공업,20750,-6.11,75114000000
267250,HD현대,225500,-8.52,31052000000
033780,KT&G,170700,-1.39,15213000000
006800,미래에셋증권,32100,-3.17,21225000000
003550,LG,115300,1.86,24811000000
018260,삼성에스디에스,221000,1.14,21654000000
003670,포스코퓨처엠,189500,5.93,73044000000
010950,S-Oil,148600,0.0,46817000000
024110,기업은행,20400,-2.39,13093000000
035720,카카오,34550,-0.29,19745000000
086280,현대글로비스,204000,-1.45,10751000000
079550,LIG디펜스앤에어로스페이스,669000,-5.11,53147000000
000720,현대건설,127900,-0.23,47047000000
278470,에이피알,360500,-2.3,54249000000
030200,KT,52700,-0.94,6589000000
064350,현대로템,121700,-2.17,24520000000
272210,한화시스템,69800,-6.93,30860000000
047810,한국항공우주,129100,-2.93,18236000000
005830,DB손해보험,188700,-1.97,18474000000
011070,LG이노텍,504000,-1.95,58294000000
003490,대한항공,29350,-1.68,24849000000
078930,GS,114800,-1.37,25335000000
071050,한국금융지주,189100,-2.37,15608000000
443060,HD현대마린솔루션,232000,-2.93,16745000000
323410,카카오뱅크,21250,-1.62,9055000000
307950,현대오토에버,369500,-1.07,10015000000
028050,삼성E&A,50900,0.2,61269000000
047050,포스코인터내셔널,55100,-2.65,23400000000
003230,삼양식품,1278000,-2.44,37982000000
259960,크래프톤,210000,-0.94,8139000000
005940,NH투자증권,25975,-1.61,6567000000
006260,LS,304000,-2.56,17865000000
180640,한진칼,138900,0.14,5845000000
090430,아모레퍼시픽,144000,-1.37,26341000000
0126Z0,삼성에피스홀딩스,334000,1.06,7770000000
047040,대우건설,19130,1.97,81880000000
016360,삼성증권,86200,-1.49,15250000000
007660,이수페타시스,104600,-2.61,42042000000
352820,하이브,173300,-1.37,16479000000
000880,한화,137300,-4.45,10804000000
161390,한국타이어앤테크놀로지,58500,-3.62,12002000000
021240,코웨이,101500,1.0,23304000000
000500,가온전선,239500,-2.44,26037000000
039490,키움증권,267500,-3.08,18677000000
064400,LG씨엔에스,71200,0.71,16951000000
009830,한화솔루션,28600,-0.35,30673000000
267270,HD건설기계,134500,-3.79,33341000000
128940,한미약품,496000,4.64,84876000000
032640,LG유플러스,14880,-1.06,7407000000
377300,카카오페이,45850,-2.24,7185000000
326030,SK바이오팜,77900,-1.52,6065000000
175330,JB금융지주,32250,0.0,9159000000
000100,유한양행,79600,0.63,16376000000
241560,두산밥캣,60200,-2.27,4416000000
062040,산일전기,187000,-5.56,66327000000
052690,한전기술,144600,4.63,164117000000
001440,대한전선,27825,-1.68,24255000000
088350,한화생명,5960,-1.0,16448000000
000990,DB하이텍,116600,4.76,99420000000
138930,BNK금융지주,16100,0.56,10107000000
353200,대덕전자,96300,-0.72,44319000000
004020,현대제철,35350,7.12,58565000000
088980,맥쿼리인프라,9780,-0.2,7787000000
066970,엘앤에프,114900,0.7,44844000000
271560,오리온,116000,0.61,14997000000
051900,LG생활건강,302500,1.17,28637000000
454910,두산로보틱스,69500,0.14,15344000000
036570,NC,203000,-1.69,11389000000
011790,SKC,87400,0.34,8268000000
034220,LG디스플레이,8610,-2.71,27652000000
001450,현대해상,49300,-3.71,16062000000
002380,KCC,468500,-1.06,12975000000
082740,한화엔진,47850,-5.43,24897000000
