code,name,종가,등락률,거래대금,거래량
005930,삼성전자,282750,2.26,1926547000000,6783091
000660,SK하이닉스,1858000,0.98,2042283000000,1090252
402340,SK스퀘어,1176000,3.8,235452000000,199679
009150,삼성전기,1499500,0.91,331644000000,220172
373220,LG에너지솔루션,351500,0.29,37639000000,105726
005380,현대차,355000,-1.53,64074000000,178065
207940,삼성바이오로직스,1376000,-1.08,14110000000,10204
105560,KB금융,173500,-1.25,43679000000,249914
028260,삼성물산,370000,0.82,38952000000,104051
032830,삼성생명,295500,1.55,25414000000,85613
012450,한화에어로스페이스,1037000,-1.89,26141000000,24949
034020,두산에너빌리티,82600,-4.51,120991000000,1434943
055550,신한지주,110600,-2.3,29593000000,265071
329180,HD현대중공업,443000,-2.74,29964000000,67129
000270,기아,116700,-1.52,20427000000,172970
034730,SK,598000,1.7,15671000000,26041
006400,삼성SDI,514000,-2.84,95309000000,182561
068270,셀트리온,178100,-0.22,14822000000,82971
086790,하나금융지주,133100,-2.13,22967000000,170520
066570,LG전자,210500,-2.77,49087000000,231203
012330,현대모비스,371500,-0.27,20667000000,55106
010120,LS ELECTRIC,205000,-3.3,26177000000,125028
035420,NAVER,196500,-2.24,77977000000,392961
000810,삼성화재,649000,-0.92,12689000000,19526
298040,효성중공업,2862000,-1.34,30761000000,10630
316140,우리금융지주,35700,-0.14,14395000000,401081
267260,HD현대일렉트릭,709000,-0.7,13181000000,18492
096770,SK이노베이션,147400,4.54,66100000000,445638
005490,POSCO홀딩스,312000,-1.73,18876000000,59665
042660,한화오션,80100,-1.84,19467000000,240628
000150,두산,1468000,-0.34,47607000000,32026
009540,HD한국조선해양,334500,-1.47,9897000000,29283
010130,고려아연,1112000,0.18,2379000000,2132
042700,한미반도체,238500,-0.62,32024000000,132915
011200,HMM,21000,-0.94,3608000000,170727
015760,한국전력,30400,-1.46,13742000000,448845
017670,SK텔레콤,87100,-0.23,19469000000,221719
033780,KT&G,174900,-1.35,13371000000,76258
051910,LG화학,254000,0.0,11690000000,45352
010140,삼성중공업,20350,-1.21,11880000000,579816
006800,미래에셋증권,32100,-2.28,11099000000,340088
010950,S-Oil,154800,0.32,27372000000,174227
003550,LG,114100,-2.06,4499000000,38854
018260,삼성에스디에스,220500,-2.43,7311000000,32743
003670,포스코퓨처엠,185700,0.81,48842000000,256911
024110,기업은행,20450,2.25,20152000000,973748
267250,HD현대,204500,-1.21,7690000000,37259
079550,LIG디펜스앤에어로스페이스,696000,-1.14,11642000000,16603
035720,카카오,34050,-0.29,15265000000,444669
086280,현대글로비스,199100,-1.92,10235000000,51101
272210,한화시스템,74700,-3.49,20075000000,264459
278470,에이피알,366000,1.24,22382000000,61768
000720,현대건설,122400,-6.78,59045000000,472639
030200,KT,53000,-0.19,2618000000,49162
064350,현대로템,116150,-0.81,7613000000,64943
011070,LG이노텍,532000,-1.85,21909000000,40621
047810,한국항공우주,127500,-2.15,8021000000,62484
005830,DB손해보험,183600,-1.24,9527000000,51848
003490,대한항공,31300,-0.32,64238000000,2034175
443060,HD현대마린솔루션,242500,-0.21,4105000000,16792
071050,한국금융지주,187300,0.54,13060000000,68710
307950,현대오토에버,379000,-1.56,6792000000,17702
078930,GS,109200,-1.27,10369000000,93770
006260,LS,325000,-0.46,10739000000,32433
047050,포스코인터내셔널,55200,-2.65,7898000000,140473
005940,NH투자증권,26150,0.19,3291000000,124659
323410,카카오뱅크,20150,-0.25,3974000000,195744
028050,삼성E&A,48950,-4.39,54229000000,1093374
000500,가온전선,318000,-1.09,23403000000,73446
180640,한진칼,141400,-1.46,2154000000,15203
259960,크래프톤,201000,-0.5,1958000000,9694
003230,삼양식품,1212000,-3.19,27706000000,22717
007660,이수페타시스,116000,2.75,42778000000,365892
090430,아모레퍼시픽,142900,0.63,5524000000,38841
0126Z0,삼성에피스홀딩스,332000,0.15,1867000000,5577
016360,삼성증권,91700,1.1,16136000000,175218
047040,대우건설,17480,-7.02,96279000000,5392435
161390,한국타이어앤테크놀로지,57500,0.0,2992000000,51884
000880,한화,132400,0.08,2200000000,16590
021240,코웨이,98500,-1.3,2989000000,30213
039490,키움증권,265000,1.15,6324000000,23730
064400,LG씨엔에스,69900,-2.37,15359000000,217291
352820,하이브,157000,0.45,16747000000,106995
128940,한미약품,524000,4.38,22480000000,43145
009830,한화솔루션,29000,5.65,65653000000,2257371
062040,산일전기,203500,-0.73,9841000000,48096
267270,HD건설기계,130900,-4.8,18605000000,139776
001440,대한전선,31250,-1.11,44027000000,1400860
326030,SK바이오팜,75900,-1.3,2459000000,32119
000990,DB하이텍,129800,-0.69,19567000000,150805
175330,JB금융지주,30150,-2.11,2120000000,69565
353200,대덕전자,112800,0.45,70029000000,609424
241560,두산밥캣,57600,-1.2,1877000000,32400
377300,카카오페이,40500,-1.1,2026000000,49545
000100,유한양행,74000,-1.46,3468000000,46498
052690,한전기술,131800,-4.56,27509000000,206103
138930,BNK금융지주,16020,2.5,8929000000,545207
088350,한화생명,5600,-0.88,4485000000,799442
088980,맥쿼리인프라,9800,0.0,1133000000,115567
036570,NC,215000,-3.59,5048000000,23207
454910,두산로보틱스,69800,-1.69,8959000000,125941
004020,현대제철,33750,-5.2,8585000000,250984
051900,LG생활건강,296000,-0.17,2385000000,8019
066970,엘앤에프,108700,0.28,18586000000,167247
011790,SKC,88300,-0.11,3907000000,43689
034220,LG디스플레이,8740,3.19,13921000000,1596420
271560,오리온,110100,-0.72,1823000000,16491
002380,KCC,471000,0.75,3141000000,6591
001450,현대해상,47450,-0.73,3046000000,64217
082740,한화엔진,48050,-2.44,15616000000,322017
103590,일진전기,81500,6.54,41300000000,512068
001040,CJ,131000,1.24,2736000000,20918
010060,OCI홀딩스,201000,6.91,45596000000,225910
008930,한미사이언스,52300,3.16,2907000000,55261
161890,한국콜마,147700,1.1,14640000000,99926
018880,한온시스템,3285,-1.05,3157000000,955090
004170,신세계,350000,-2.1,5467000000,15406
111770,영원무역,70700,-1.94,1637000000,22884
375500,DL이앤씨,80700,-5.28,10165000000,123783
336260,두산퓨얼셀,47550,-0.11,13027000000,269854
192820,코스맥스,271000,0.37,6593000000,24493
028670,팬오션,5640,-2.59,4652000000,817063
023530,롯데쇼핑,105100,-5.06,2287000000,21260
006360,GS건설,34500,-7.88,34344000000,964517
011780,금호석유화학,116100,-0.94,1160000000,9873
017800,현대엘리베이터,73700,-0.54,1440000000,19450
139130,iM금융지주,17890,-1.16,1992000000,110619
007340,DN오토모티브,47850,-3.53,2137000000,44345
097950,CJ제일제당,176700,1.44,4023000000,22706
426030,TIME 미국나스닥100액티브,48355,1.1,10648000000,219742
011170,롯데케미칼,61600,-1.44,1549000000,24678
450080,에코프로머티,35000,-1.13,4373000000,122666
014680,한솔케미칼,227500,1.11,1844000000,8109
009420,한올바이오파마,46650,1.52,2629000000,55829
489790,한화비전,47500,-0.52,2265000000,47097
004370,농심,389000,-0.89,2058000000,5276
483650,달바글로벌,185600,3.57,16747000000,90417
103140,풍산,77900,-1.39,2356000000,29645
456600,TIME 글로벌AI인공지능액티브,60000,0.52,3215000000,53474
204320,HL만도,45300,-1.09,3398000000,74195
069960,현대백화점,98600,-0.3,1989000000,19989
112610,씨에스윈드,50200,-0.4,4090000000,80970
020150,롯데에너지머티리얼즈,39800,-0.75,1820000000,44990
139480,이마트,71900,-1.1,2007000000,27814
457190,이수스페셜티케미컬,64100,0.0,2612000000,40333
229640,LS에코에너지,62700,5.38,28666000000,445167
073240,금호타이어,6580,-2.08,3625000000,547636
294400,KIWOOM 200TR,148000,0.75,1233000000,8279
181710,NHN,55400,-3.15,2406000000,42615
475150,SK이터닉스,50700,0.4,15982000000,311832
020560,아시아나항공,8340,-0.36,1425000000,169003
