code,name,종가,등락률,거래대금,거래량
005930,삼성전자,272000,4.21,2895103000000,10716243
000660,SK하이닉스,1866000,0.48,2436543000000,1303145
402340,SK스퀘어,1119000,3.71,282097000000,253806
009150,삼성전기,1413000,1.8,387461000000,273563
373220,LG에너지솔루션,353500,-2.88,60257000000,170142
005380,현대차,361000,-1.1,67583000000,187235
207940,삼성바이오로직스,1403000,0.36,11201000000,7993
105560,KB금융,178400,2.0,56257000000,318409
028260,삼성물산,366500,4.42,49765000000,136917
032830,삼성생명,292500,3.17,48861000000,168465
012450,한화에어로스페이스,1078000,0.0,58875000000,54054
034020,두산에너빌리티,85800,1.06,76955000000,897675
055550,신한지주,113500,3.09,43624000000,388527
329180,HD현대중공업,452500,-1.63,26647000000,58822
000270,기아,120000,-1.56,33839000000,281888
006400,삼성SDI,534000,-1.29,73476000000,137568
068270,셀트리온,181400,1.11,17244000000,95569
034730,SK,570000,4.59,25686000000,45163
086790,하나금융지주,135900,2.1,27789000000,206193
012330,현대모비스,373000,-1.58,35450000000,94750
066570,LG전자,201000,1.31,39908000000,200010
010120,LS ELECTRIC,207000,-2.13,33553000000,161307
035420,NAVER,196900,-0.4,45903000000,232640
000810,삼성화재,654000,0.93,10290000000,15808
298040,효성중공업,2902000,-0.45,38804000000,13248
316140,우리금융지주,36500,1.11,18476000000,508687
267260,HD현대일렉트릭,715000,-1.38,17560000000,24380
005490,POSCO홀딩스,320000,-0.93,23814000000,74183
042660,한화오션,82100,-0.97,20419000000,248603
009540,HD한국조선해양,339500,0.59,15099000000,44505
096770,SK이노베이션,140300,2.71,42442000000,303144
010130,고려아연,1130000,0.53,4798000000,4272
000150,두산,1427000,-1.38,65179000000,45214
042700,한미반도체,236250,0.11,40317000000,170841
015760,한국전력,30950,0.65,9744000000,315940
011200,HMM,20900,0.48,3725000000,178413
017670,SK텔레콤,87800,-1.57,24951000000,284498
051910,LG화학,261500,-2.06,16377000000,62558
010140,삼성중공업,20600,-0.96,19116000000,928026
033780,KT&G,173800,1.05,12706000000,73298
010950,S-Oil,154400,3.28,20783000000,136415
018260,삼성에스디에스,224000,2.05,13812000000,61833
006800,미래에셋증권,31800,0.47,9371000000,296244
