code,name,종가,등락률,거래대금,거래량
005930,삼성전자,272750,4.5,5057238000000,18620802
000660,SK하이닉스,1868000,0.59,4049010000000,2164005
402340,SK스퀘어,1130000,4.73,454524000000,406313
009150,삼성전기,1431500,3.13,670984000000,472674
373220,LG에너지솔루션,353000,-3.02,88020000000,248803
005380,현대차,358750,-1.71,126408000000,350824
207940,삼성바이오로직스,1392000,-0.43,31966000000,22876
105560,KB금융,176800,1.09,91429000000,516297
028260,삼성물산,366500,4.42,81368000000,222991
032830,삼성생명,291000,2.65,76428000000,262927
012450,한화에어로스페이스,1064000,-1.3,92920000000,85932
034020,두산에너빌리티,85000,0.12,116947000000,1366572
055550,신한지주,112900,2.54,85483000000,757670
329180,HD현대중공업,448500,-2.5,78588000000,174700
000270,기아,119600,-1.89,70178000000,585520
006400,삼성SDI,531000,-1.85,119716000000,224546
068270,셀트리온,180600,0.67,31806000000,175944
034730,SK,575000,5.5,42663000000,74776
086790,하나금융지주,135100,1.5,43676000000,323373
012330,현대모비스,371000,-2.11,61023000000,163438
066570,LG전자,202500,2.07,81413000000,405335
010120,LS ELECTRIC,208000,-1.65,44500000000,214015
035420,NAVER,197000,-0.35,91753000000,464951
000810,삼성화재,648000,0.0,18682000000,28699
298040,효성중공업,2899000,-0.55,67562000000,23155
316140,우리금융지주,36300,0.55,30233000000,831336
267260,HD현대일렉트릭,713000,-1.66,27333000000,38031
005490,POSCO홀딩스,317500,-1.7,41176000000,128628
042660,한화오션,81800,-1.33,31547000000,384431
096770,SK이노베이션,141000,3.22,66174000000,472359
009540,HD한국조선해양,336000,-0.44,31904000000,94462
010130,고려아연,1119000,-0.44,7129000000,6345
000150,두산,1426000,-1.45,98332000000,68380
042700,한미반도체,236000,0.0,57937000000,245302
011200,HMM,21000,0.96,6963000000,332879
015760,한국전력,30650,-0.33,19027000000,617914
017670,SK텔레콤,87000,-2.47,52296000000,597861
051910,LG화학,259000,-3.0,30615000000,117187
010140,삼성중공업,20550,-1.2,34713000000,1687008
033780,KT&G,173000,0.58,22342000000,128693
010950,S-Oil,154300,3.21,41898000000,273234
006800,미래에셋증권,31800,0.47,15839000000,499993
018260,삼성에스디에스,223000,1.59,21058000000,94239
003550,LG,111300,-0.54,9852000000,88536
267250,HD현대,210000,0.96,19478000000,92719
079550,LIG디펜스앤에어로스페이스,726000,-2.42,87006000000,116535
024110,기업은행,20050,0.0,9298000000,462752
003670,포스코퓨처엠,177900,-3.26,32333000000,181009
086280,현대글로비스,202000,-0.74,24290000000,121113
035720,카카오,33200,-1.04,29988000000,903355
272210,한화시스템,76500,-4.37,113303000000,1448912
000720,현대건설,125400,0.48,40805000000,324454
278470,에이피알,363500,-0.95,38642000000,105803
030200,KT,53300,0.57,10067000000,189198
064350,현대로템,119100,-2.78,25521000000,212144
047810,한국항공우주,129200,-0.46,14321000000,109878
005830,DB손해보험,188000,0.59,13673000000,72776
011070,LG이노텍,516000,-3.01,65244000000,125422
003490,대한항공,28850,-1.54,25904000000,896055
078930,GS,112900,-0.88,16746000000,147717
443060,HD현대마린솔루션,230500,-6.3,16567000000,70988
071050,한국금융지주,183800,0.82,14587000000,79512
047050,포스코인터내셔널,57700,0.7,29096000000,503981
028050,삼성E&A,51400,-0.77,68088000000,1318691
006260,LS,320000,-1.69,23848000000,74271
307950,현대오토에버,360500,-2.44,10976000000,30321
005940,NH투자증권,26250,2.74,11874000000,456502
003230,삼양식품,1280000,-1.54,28128000000,21895
323410,카카오뱅크,20100,-1.71,10724000000,529616
000500,가온전선,316750,-3.13,93328000000,291870
180640,한진칼,137500,-0.94,4252000000,30731
259960,크래프톤,198700,-3.07,10549000000,52647
090430,아모레퍼시픽,144700,0.91,23993000000,165327
0126Z0,삼성에피스홀딩스,327000,0.0,5417000000,16534
007660,이수페타시스,109300,5.4,122359000000,1122359
016360,삼성증권,88100,3.28,18454000000,211494
047040,대우건설,18250,-3.49,81000000000,4398398
161390,한국타이어앤테크놀로지,58100,-4.13,11320000000,192125
021240,코웨이,99000,-2.08,10761000000,107185
000880,한화,131000,-1.13,9009000000,69130
352820,하이브,162050,-2.32,24651000000,150673
039490,키움증권,263500,0.38,6522000000,24814
064400,LG씨엔에스,69200,-1.98,23389000000,335537
128940,한미약품,507000,0.8,13737000000,27105
267270,HD건설기계,135500,-3.08,21191000000,154351
062040,산일전기,203500,-3.78,31053000000,151948
009830,한화솔루션,27500,-3.17,37479000000,1355713
032640,LG유플러스,14430,2.7,15663000000,1082157
326030,SK바이오팜,77500,-0.26,4956000000,63619
001440,대한전선,29950,-4.77,91400000000,3015606
175330,JB금융지주,30950,0.32,6379000000,206810
000990,DB하이텍,130200,3.25,61772000000,485029
241560,두산밥캣,58300,-1.19,5625000000,95914
000100,유한양행,75300,-0.79,9865000000,130413
377300,카카오페이,39900,-0.87,6847000000,169908
353200,대덕전자,101600,-1.55,39336000000,384896
029780,삼성카드,43300,-1.03,3299000000,76079
088350,한화생명,5770,-1.54,11264000000,1947074
052690,한전기술,128400,-4.04,39179000000,298752
138930,BNK금융지주,15670,0.45,7023000000,448096
088980,맥쿼리인프라,9810,0.2,4337000000,442932
004020,현대제철,35050,-2.64,18231000000,516775
454910,두산로보틱스,69900,1.01,10196000000,146204
051900,LG생활건강,298500,1.02,11514000000,38576
036570,NC,205500,-1.67,8330000000,40246
271560,오리온,110700,-0.72,5813000000,52163
011790,SKC,88100,0.46,7269000000,82376
066970,엘앤에프,106600,-3.96,43108000000,403369
034220,LG디스플레이,8470,0.83,16103000000,1897504
082740,한화엔진,50100,-2.34,16083000000,319712
001450,현대해상,48600,-0.41,9038000000,185878
002380,KCC,463500,-0.96,5239000000,11364
001040,CJ,128100,0.47,6541000000,50800
010060,OCI홀딩스,191700,-6.03,66525000000,341883
103590,일진전기,72700,-5.09,26605000000,361283
018880,한온시스템,3345,-2.9,8052000000,2406625
161890,한국콜마,145500,0.21,19079000000,132651
004170,신세계,358000,-1.24,13541000000,37687
375500,DL이앤씨,84700,-2.53,18267000000,215106
336260,두산퓨얼셀,48250,-5.21,36020000000,748274
023530,롯데쇼핑,110200,-2.82,13016000000,117951
006360,GS건설,36300,-1.49,39741000000,1092465
192820,코스맥스,273000,0.0,12335000000,45370
028670,팬오션,5730,-0.35,4797000000,832614
007340,DN오토모티브,49000,-0.61,6877000000,141629
251270,넷마블,34300,-1.01,3684000000,107135
011170,롯데케미칼,63700,1.11,7533000000,117869
097950,CJ제일제당,174300,-0.17,5446000000,31033
426030,TIME 미국나스닥100액티브,47880,1.79,23668000000,494471
450080,에코프로머티,34400,-1.43,5069000000,147320
009420,한올바이오파마,46500,-2.41,6161000000,130347
005440,현대지에프홀딩스,13140,3.96,5648000000,428146
004370,농심,392500,0.26,8443000000,21334
489790,한화비전,46550,-2.92,6807000000,145248
483650,달바글로벌,182400,1.16,24611000000,134349
204320,HL만도,47250,-1.97,9529000000,201024
103140,풍산,78200,-1.39,3672000000,46669
020150,롯데에너지머티리얼즈,41550,-1.77,9902000000,233522
069960,현대백화점,99800,1.63,5085000000,50978
456600,TIME 글로벌AI인공지능액티브,59830,1.73,10206000000,170778
112610,씨에스윈드,50200,-2.33,10328000000,205494
081660,미스토홀딩스,38550,1.58,2576000000,66704
139480,이마트,73000,-1.35,4048000000,55285
073240,금호타이어,6800,-3.0,7228000000,1043708
457190,이수스페셜티케미컬,64000,-1.69,3311000000,51406
294400,KIWOOM 200TR,146320,1.86,6275000000,42832
229640,LS에코에너지,59950,-0.91,12065000000,202883
181710,NHN,55800,-1.59,5328000000,94616
089860,롯데렌탈,49000,0.2,3185000000,64123
071970,HD현대마린엔진,50800,-3.24,4376000000,85586
120110,코오롱인더,57100,0.53,6856000000,120232
475150,SK이터닉스,50100,-1.57,20011000000,398286
008770,호텔신라,40200,-1.47,3632000000,90069
001430,세아베스틸지주,43800,-2.77,4332000000,99300
001820,삼화콘덴서,146500,1.31,163579000000,1106330
093370,후성,14190,-3.34,38632000000,2758545
281820,케이씨텍,75900,4.4,11107000000,147498
097230,HJ중공업,15180,-1.87,2987000000,196324
322000,HD현대에너지솔루션,118900,-6.38,43384000000,363752
361610,SK아이이테크놀로지,16270,3.5,3169000000,195526
007810,코리아써키트,52200,-0.57,4611000000,88552
001740,SK네트웍스,6110,-2.4,4105000000,666118
006340,대원전선,13550,-2.45,27454000000,2013582
003160,디아이,35550,13.22,59630000000,1715353
003530,한화투자증권,4655,3.56,5500000000,1183539
195870,해성디에스,56400,-1.91,8651000000,152626
000370,한화손해보험,8050,-0.25,2353000000,292077
006110,삼아알미늄,56300,-5.7,5972000000,104379
441800,TIME Korea플러스배당액티브,29205,1.46,3461000000,118778
069660,KIWOOM 200,111490,1.98,45609000000,408177
005090,SGC에너지,54000,-0.74,3496000000,65659
100840,SNT에너지,36850,0.41,2608000000,70953
005690,파미셀,12340,-1.52,28935000000,2291149
100090,SK오션플랜트,11580,-2.85,5104000000,437152
090460,비에이치,19360,-5.79,14891000000,758632
017900,광전자,11110,5.61,206502000000,17895717
0015B0,KoAct 미국나스닥성장기업액티브,19330,1.28,5510000000,285015
0220W0,한화머시너리앤서비스홀딩스,6370,0.95,6879000000,1076576
192650,드림텍,8060,5.5,16323000000,2054546
452260,한화갤러리아,2715,1.31,2754000000,1030157
004710,한솔테크닉스,9720,-2.7,4085000000,417428
029460,케이씨,44550,7.87,3971000000,90593
002990,금호건설,12980,-2.7,12408000000,947839
0163Y0,KoAct 코스닥액티브,9540,2.03,3747000000,394213
003280,흥아해운,1793,-0.55,4156000000,2320440
020000,한섬,18430,4.95,5869000000,319825
317400,자이에스앤디,9700,-2.61,6802000000,702534
474590,WON 반도체밸류체인액티브,46970,2.94,3858000000,82808
092790,넥스틸,13910,-1.0,3901000000,279952
217590,티엠씨,14380,-1.17,36411000000,2406968
003350,한국화장품제조,15300,-2.98,10605000000,700558
0182R0,1Q K반도체TOP2+,11000,3.29,10542000000,962967
462900,KoAct 바이오헬스케어액티브,12635,-0.67,5991000000,469134
010580,에스엠벡셀,2825,13.0,37442000000,13413261
010820,퍼스텍,6430,0.63,2971000000,463716
020120,키다리스튜디오,8380,-0.48,4706000000,593646
004310,현대약품,9300,-7.65,23319000000,2422317
105840,우진,14620,-4.51,4273000000,288656
0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,12035,1.43,8735000000,727164
053690,한미글로벌,22150,0.0,8267000000,369947
035510,신세계 I&C,15250,-2.68,2833000000,181854
494220,UNICORN SK하이닉스밸류체인액티브,50425,3.35,4067000000,80977
001520,동양,1222,-9.68,13287000000,10019618
001210,금호전기,10410,-4.06,14997000000,1415252
003010,혜인,10020,-5.11,4013000000,395980
092220,KEC,3085,8.06,4585000000,1474648
006660,삼성공조,13240,0.61,3410000000,255463
007610,선도전기,4775,-3.44,15999000000,3195946
0198A0,KIWOOM 코스닥150커버드콜액티브,8640,0.64,6276000000,727890
372910,한컴라이프케어,2135,1.18,2512000000,1146413
092780,DYP,3710,-9.51,4697000000,1101118
196170,알테오젠,254000,0.2,36818000000,143427
086520,에코프로,80000,-1.36,34475000000,430745
247540,에코프로비엠,102900,-1.91,15871000000,153697
036930,주성엔지니어링,206500,0.49,106168000000,515067
277810,레인보우로보틱스,438500,0.57,10770000000,24672
240810,원익IPS,128800,6.01,171173000000,1341306
039030,이오테크닉스,479000,5.62,29037000000,61594
058470,리노공업,69400,-0.29,23941000000,343628
222800,심텍,129900,3.34,42857000000,332277
108490,로보티즈,307000,0.16,40566000000,132246
403870,HPSP,54400,0.93,61137000000,1123465
028300,HLB,32400,9.27,42480000000,1337079
095340,ISC,199200,6.92,25219000000,128177
319660,피에스케이,136400,7.49,48170000000,356293
000250,삼천당제약,161600,1.25,6460000000,39914
087010,펩트론,159500,2.24,8530000000,53356
031980,피에스케이홀딩스,163800,2.44,19145000000,114838
214450,파마리서치,323000,-1.37,13568000000,41732
084370,유진테크,139900,1.38,14579000000,104435
440110,파두,63800,4.59,11262000000,179154
141080,리가켐바이오,81400,-0.97,10217000000,124907
298380,에이비엘바이오,53400,-4.64,26176000000,482457
064760,티씨케이,264500,-1.49,9364000000,35190
067310,하나마이크론,43950,13.71,249688000000,5734865
131290,티에스이,260500,7.2,25148000000,98426
095610,테스,146900,6.37,34670000000,240272
310210,보로노이,152500,15.53,20225000000,133538
010170,대한광통신,17590,-3.98,216389000000,12086213
257720,실리콘투,40950,-1.44,25605000000,626579
357780,솔브레인,339000,2.42,4195000000,12482
145020,휴젤,206500,-3.5,9718000000,46574
080220,제주반도체,74700,1.77,55381000000,741520
226950,올릭스,107000,-4.12,27464000000,250729
140410,메지온,79200,5.46,10933000000,139179
319400,현대무벡스,21600,-4.0,25000000000,1141879
032820,우리기술,13420,-3.24,73107000000,5216832
058610,에스피지,99700,0.3,18602000000,186922
263750,펄어비스,34500,-1.0,5512000000,158773
005290,동진쎄미켐,42400,2.91,9153000000,217289
030530,원익홀딩스,26800,2.88,70171000000,2612550
178320,서진시스템,32200,-4.87,27869000000,848703
347850,디앤디파마텍,44400,-1.99,15020000000,336144
214150,클래시스,30700,-1.92,3294000000,107058
043260,성호전자,26200,-2.24,125291000000,4682012
098460,고영,28450,2.89,22679000000,803180
041510,에스엠,83600,3.59,7201000000,86464
083650,비에이치아이,61400,-4.51,19028000000,305342
237690,에스티팜,90800,-2.05,4261000000,46647
131970,두산테스나,96100,11.61,59708000000,650361
089030,테크윙,47750,5.29,40075000000,841277
437730,삼현,56100,11.98,169440000000,3022767
036540,SFA반도체,10680,18.4,259766000000,24608087
060370,LS마린솔루션,32600,-4.12,4144000000,126428
183300,코미코,31550,2.27,10579000000,345146
096530,씨젠,34050,0.74,6488000000,189393
218410,RFHIC,59600,-0.83,62150000000,1015979
204270,제이앤티씨,25300,7.43,63295000000,2509844
089970,브이엠,54500,-1.09,16473000000,302232
323280,태성,45550,0.22,4377000000,96250
