code,name,종가,등락률,거래대금
020150,롯데에너지머티리얼즈,39200,-2.24,2777000000
139480,이마트,73600,-0.81,3419000000
073240,금호타이어,7060,-0.28,2784000000
030000,제일기획,17580,-6.44,14098000000
456600,TIME 글로벌AI인공지능액티브,55940,0.45,2798000000
483650,달바글로벌,160400,-1.66,13851000000
457190,이수스페셜티케미컬,64300,-1.08,2233000000
229640,LS에코에너지,58200,16.75,43977000000
294400,KIWOOM 200TR,138760,1.24,8463000000
181710,NHN,53600,-3.25,5660000000
089860,롯데렌탈,47600,-1.65,2407000000
475150,SK이터닉스,49150,-1.5,20176000000
071970,HD현대마린엔진,48750,-2.01,4660000000
120110,코오롱인더,54200,0.93,1736000000
001120,LX인터내셔널,41400,4.02,4477000000
008770,호텔신라,40600,-0.49,3812000000
294870,IPARK현대산업개발,24000,-2.04,2181000000
093370,후성,14630,-1.01,54852000000
001430,세아베스틸지주,42250,-2.31,3038000000
001820,삼화콘덴서,141300,-0.84,59861000000
005070,코스모신소재,41500,0.61,4038000000
281820,케이씨텍,69400,0.73,5028000000
322000,HD현대에너지솔루션,120050,-2.71,12353000000
361610,SK아이이테크놀로지,15920,-3.81,2402000000
007810,코리아써키트,49750,0.51,3488000000
000210,DL,54600,2.06,2345000000
006340,대원전선,12810,0.71,12846000000
003530,한화투자증권,4600,-3.06,5017000000
195870,해성디에스,55900,15.98,21256000000
006110,삼아알미늄,58600,-0.68,2610000000
003160,디아이,30850,3.87,4491000000
000670,영풍,47050,-6.83,4509000000
100840,SNT에너지,38000,3.83,6579000000
069660,KIWOOM 200,105985,1.6,5491000000
003850,보령,8820,2.68,1293000000
100090,SK오션플랜트,12030,-0.99,2272000000
006650,대한유화,103700,3.6,3971000000
005690,파미셀,10900,0.37,2130000000
090460,비에이치,18790,-4.43,10217000000
017900,광전자,10470,-1.78,111615000000
0220W0,한화머시너리앤서비스홀딩스,6765,-4.31,7054000000
001510,SK증권,2325,-1.06,1935000000
452260,한화갤러리아,2585,5.3,4044000000
002990,금호건설,13360,0.45,11889000000
019170,신풍제약,9200,-7.72,3396000000
249420,일동제약,14520,-2.55,1499000000
192650,드림텍,6810,0.29,7628000000
0163Y0,KoAct 코스닥액티브,8940,0.45,2990000000
003280,흥아해운,1817,0.83,5948000000
317400,자이에스앤디,10680,-4.13,6275000000
130660,한전산업,12680,-2.46,1723000000
092790,넥스틸,13950,-0.5,2955000000
003350,한국화장품제조,15020,1.42,7565000000
462900,KoAct 바이오헬스케어액티브,12705,-1.51,4578000000
004310,현대약품,10240,1.19,108971000000
0182R0,1Q K반도체TOP2+,10140,1.71,12864000000
217590,티엠씨,12970,0.08,61567000000
010580,에스엠벡셀,2670,-4.3,1562000000
105840,우진,14080,-4.48,5178000000
0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,11560,1.18,2699000000
053690,한미글로벌,23100,0.22,2139000000
005680,삼영전자,12250,0.0,1246000000
028100,동아지질,19370,3.64,2730000000
494220,UNICORN SK하이닉스밸류체인액티브,46500,1.56,1557000000
004090,한국석유,11910,-3.25,2578000000
001210,금호전기,10940,1.3,30842000000
092220,KEC,2980,8.36,5481000000
006660,삼성공조,12620,0.56,1512000000
0198A0,KIWOOM 코스닥150커버드콜액티브,8395,-0.94,4986000000
196170,알테오젠,255000,-1.92,51395000000
086520,에코프로,82200,-2.61,20008000000
