code,name,종가,등락률,거래대금,거래량
005930,삼성전자,252750,-0.3,1196370000000,4700583
000660,SK하이닉스,1742000,-0.97,2158119000000,1230249
402340,SK스퀘어,1014500,-0.54,143091000000,139710
009150,삼성전기,1352000,-2.1,210373000000,153277
373220,LG에너지솔루션,365000,-0.54,25622000000,70467
005380,현대차,360500,-0.41,62055000000,172049
207940,삼성바이오로직스,1396000,-0.92,15207000000,10826
105560,KB금융,180000,1.87,75307000000,419515
028260,삼성물산,354500,0.28,32824000000,91523
032830,삼성생명,284000,0.18,28337000000,99111
012450,한화에어로스페이스,1086000,2.94,76529000000,70093
034020,두산에너빌리티,85700,2.27,80070000000,938017
055550,신한지주,113100,0.89,34903000000,308489
329180,HD현대중공업,471000,6.92,68583000000,147661
000270,기아,119350,-1.12,27839000000,231896
006400,삼성SDI,540000,-0.74,43331000000,80084
068270,셀트리온,181400,2.37,28141000000,155731
034730,SK,542000,-1.63,26038000000,47645
086790,하나금융지주,138400,1.24,38217000000,275512
012330,현대모비스,381500,-0.39,41666000000,108897
066570,LG전자,198450,-0.77,32367000000,162395
035420,NAVER,201000,-0.25,26073000000,129366
010120,LS ELECTRIC,199900,0.25,26440000000,131574
000810,삼성화재,667000,0.91,12918000000,19219
316140,우리금융지주,36400,0.28,27133000000,746058
298040,효성중공업,2853000,1.67,43528000000,15439
005490,POSCO홀딩스,327000,0.15,15097000000,46194
042660,한화오션,83800,3.08,27959000000,335658
267260,HD현대일렉트릭,705000,-0.28,22295000000,31479
009540,HD한국조선해양,349500,5.11,27712000000,80384
000150,두산,1471000,6.06,100914000000,69697
010130,고려아연,1133000,-0.09,4865000000,4292
096770,SK이노베이션,138900,1.91,38922000000,281608
042700,한미반도체,223500,-1.11,32166000000,143004
015760,한국전력,31000,0.49,12098000000,390504
011200,HMM,20600,1.23,4307000000,209098
010140,삼성중공업,21550,6.68,49197000000,2316014
051910,LG화학,268000,-1.11,14005000000,52150
017670,SK텔레콤,87600,-0.57,19896000000,226847
033780,KT&G,174100,1.22,12357000000,71391
267250,HD현대,222000,3.02,9296000000,41888
006800,미래에셋증권,31950,0.63,10101000000,315016
010950,S-Oil,151800,5.34,27811000000,185011
003550,LG,112000,-0.18,7231000000,63873
018260,삼성에스디에스,217000,-0.23,7133000000,32562
003670,포스코퓨처엠,182300,-3.13,21082000000,114517
024110,기업은행,20150,-0.25,4302000000,212289
079550,LIG디펜스앤에어로스페이스,715000,7.36,56610000000,80111
086280,현대글로비스,206500,2.99,9861000000,48017
035720,카카오,33650,0.45,15964000000,473274
272210,한화시스템,75900,10.32,45178000000,608064
000720,현대건설,126200,1.53,27534000000,216546
030200,KT,53200,0.76,3732000000,70143
064350,현대로템,122100,2.18,15682000000,127989
278470,에이피알,350500,-0.71,42493000000,118592
047810,한국항공우주,131300,4.96,20196000000,154442
005830,DB손해보험,193900,3.69,21833000000,112262
011070,LG이노텍,511000,-0.78,19996000000,38671
443060,HD현대마린솔루션,241500,2.11,6737000000,28038
003490,대한항공,29400,1.2,28545000000,969047
078930,GS,114000,1.79,20785000000,182450
071050,한국금융지주,185900,-0.54,9981000000,53418
047050,포스코인터내셔널,58500,6.75,30200000000,521543
307950,현대오토에버,366500,0.96,2960000000,8098
028050,삼성E&A,50700,0.4,29254000000,573293
323410,카카오뱅크,20800,0.0,3671000000,176132
003230,삼양식품,1289000,2.22,22588000000,17485
005940,NH투자증권,25650,0.98,3385000000,132008
006260,LS,301000,-0.82,8851000000,29242
259960,크래프톤,204000,0.49,2720000000,13340
180640,한진칼,137300,1.25,3145000000,22750
090430,아모레퍼시픽,143600,-0.69,10011000000,68799
0126Z0,삼성에피스홀딩스,334000,2.14,3312000000,9873
007660,이수페타시스,112400,4.46,43877000000,385423
016360,삼성증권,86100,0.58,5561000000,64594
047040,대우건설,18590,0.11,38006000000,2029476
000500,가온전선,256000,2.61,43214000000,167434
021240,코웨이,107300,-0.09,3463000000,32157
000880,한화,139000,0.94,4661000000,33496
161390,한국타이어앤테크놀로지,58900,1.9,3697000000,63093
352820,하이브,167000,-1.71,13502000000,80197
039490,키움증권,264000,-1.12,7544000000,28377
267270,HD건설기계,144200,7.93,26047000000,181139
064400,LG씨엔에스,69700,0.0,9729000000,138498
128940,한미약품,526000,4.78,48189000000,92726
009830,한화솔루션,28500,0.0,11589000000,405302
032640,LG유플러스,14620,-0.2,3159000000,216225
326030,SK바이오팜,78700,0.64,2656000000,33787
062040,산일전기,200500,2.14,20915000000,104986
175330,JB금융지주,32600,-1.06,4343000000,133079
241560,두산밥캣,61300,3.2,2387000000,39147
000100,유한양행,77300,0.0,3491000000,45012
001440,대한전선,28200,1.08,15229000000,536892
377300,카카오페이,40100,-0.99,5002000000,124450
000990,DB하이텍,123900,-0.88,51956000000,405981
088350,한화생명,6090,4.28,22709000000,3703030
052690,한전기술,138400,2.22,39674000000,287320
353200,대덕전자,101100,-0.59,36139000000,350619
138930,BNK금융지주,15850,-1.49,4369000000,273704
088980,맥쿼리인프라,9790,0.62,1995000000,203911
004020,현대제철,34150,-1.3,11066000000,320327
271560,오리온,113300,1.71,2395000000,21214
051900,LG생활건강,297500,-1.33,5360000000,17722
454910,두산로보틱스,68700,1.48,5265000000,76748
082740,한화엔진,52600,9.47,64079000000,1238059
036570,NC,204500,1.74,3608000000,17778
066970,엘앤에프,107200,-3.42,22648000000,208408
011790,SKC,86700,1.17,3441000000,39593
001450,현대해상,49550,2.16,10336000000,207769
034220,LG디스플레이,8410,-0.71,8668000000,1030373
002380,KCC,471500,1.18,3951000000,8357
001040,CJ,132400,1.07,6376000000,48159
010060,OCI홀딩스,201000,-0.99,10082000000,50009
008930,한미사이언스,51900,1.57,2952000000,56736
161890,한국콜마,147300,-1.8,16983000000,112613
018880,한온시스템,3320,-0.75,2777000000,833040
375500,DL이앤씨,86900,-0.34,9353000000,107073
004170,신세계,355000,-1.93,13085000000,36537
103590,일진전기,70100,-0.43,8601000000,122626
023530,롯데쇼핑,116800,-1.52,6686000000,56922
336260,두산퓨얼셀,50300,-1.95,12511000000,244961
006360,GS건설,36550,-0.41,11264000000,306565
192820,코스맥스,275000,-1.96,11674000000,41351
028670,팬오션,5830,0.52,5479000000,929870
011780,금호석유화학,121000,0.0,3404000000,28072
017800,현대엘리베이터,74100,1.79,3277000000,44340
007340,DN오토모티브,47900,3.46,2150000000,45528
085620,미래에셋생명,20100,3.72,2046000000,101711
011170,롯데케미칼,62300,-2.81,5082000000,81834
097950,CJ제일제당,176000,-0.4,4307000000,24490
009420,한올바이오파마,47800,0.1,3950000000,82298
426030,TIME 미국나스닥100액티브,45500,2.27,16275000000,357623
450080,에코프로머티,34850,-1.41,3482000000,99134
004370,농심,393000,-1.26,5770000000,14616
014680,한솔케미칼,215500,0.47,4092000000,19091
204320,HL만도,47950,-0.93,4744000000,98701
112610,씨에스윈드,51900,-1.14,4692000000,90026
103140,풍산,77400,0.78,3392000000,43545
483650,달바글로벌,172400,7.68,21239000000,124602
069960,현대백화점,99800,1.84,4589000000,45851
051600,한전KPS,47600,1.71,2604000000,54952
020150,롯데에너지머티리얼즈,39100,0.51,2303000000,58458
456600,TIME 글로벌AI인공지능액티브,56900,1.28,2616000000,45988
073240,금호타이어,7030,0.0,1810000000,257718
139480,이마트,72800,-0.68,1994000000,27304
030000,제일기획,17395,-0.88,5952000000,344146
457190,이수스페셜티케미컬,64300,0.0,1443000000,22373
181710,NHN,57800,8.24,8762000000,154280
294400,KIWOOM 200TR,139500,-0.07,3571000000,25480
071970,HD현대마린엔진,51800,6.26,7360000000,144234
089860,롯데렌탈,47800,-0.73,2050000000,42966
475150,SK이터닉스,49300,1.02,10340000000,209348
229640,LS에코에너지,53300,-5.83,7833000000,145520
001120,LX인터내셔널,42000,0.84,3246000000,77133
120110,코오롱인더,54400,1.12,3446000000,62554
001430,세아베스틸지주,45450,5.09,6517000000,144091
093370,후성,14940,2.82,38922000000,2593839
001820,삼화콘덴서,139000,-3.41,50912000000,357101
097230,HJ중공업,15680,4.26,2256000000,145725
281820,케이씨텍,70300,-0.28,2635000000,37764
322000,HD현대에너지솔루션,121100,0.92,9346000000,77088
005070,코스모신소재,40350,-3.0,1852000000,45714
361610,SK아이이테크놀로지,16060,1.52,2538000000,158683
192080,더블유게임즈,58400,2.1,1289000000,22036
007810,코리아써키트,50900,0.0,2956000000,58089
017960,한국카본,21400,2.39,1826000000,85675
006340,대원전선,12920,1.41,11043000000,851283
003530,한화투자증권,4615,0.54,1835000000,398560
000370,한화손해보험,8410,4.08,4014000000,476288
077970,STX엔진,24100,5.93,3482000000,144372
195870,해성디에스,54800,-4.53,4408000000,79956
006110,삼아알미늄,61200,5.52,5152000000,84297
003160,디아이,31400,0.0,7935000000,250157
005090,SGC에너지,55400,3.94,2900000000,52575
100840,SNT에너지,37000,-3.14,4448000000,118765
069660,KIWOOM 200,106245,-0.08,5618000000,52519
100090,SK오션플랜트,11960,-0.08,2396000000,200406
005690,파미셀,12020,3.35,25590000000,2086042
456040,OCI,74900,2.46,1775000000,24299
090460,비에이치,19780,5.61,14159000000,726191
006650,대한유화,97100,-3.77,2282000000,23379
079900,전진건설로봇,41350,5.75,2082000000,51183
0015B0,KoAct 미국나스닥성장기업액티브,18460,2.16,2741000000,148677
017900,광전자,10120,-3.25,52814000000,5030504
016380,KG스틸,5690,1.43,1444000000,254679
0220W0,한화머시너리앤서비스홀딩스,6650,-0.6,5402000000,798886
001510,SK증권,2365,1.28,1789000000,759227
192650,드림텍,7750,9.0,31383000000,4036834
452260,한화갤러리아,2625,0.57,1958000000,746056
004710,한솔테크닉스,9530,6.96,7427000000,790652
002990,금호건설,13460,-1.25,9399000000,700828
0163Y0,KoAct 코스닥액티브,9155,1.05,1676000000,183484
003280,흥아해운,1815,-0.06,2194000000,1211946
130660,한전산업,12790,0.87,2176000000,170418
148070,KIWOOM 국고채10년,103165,0.09,4064000000,39411
317400,자이에스앤디,10150,-0.88,1785000000,174489
006220,제주은행,9880,-2.27,1620000000,164367
092790,넥스틸,14010,0.57,2046000000,147108
0026S0,1Q 미국S&P500,12695,0.83,2284000000,180461
462900,KoAct 바이오헬스케어액티브,12955,1.05,6512000000,501060
003350,한국화장품제조,14750,-1.34,5937000000,396977
0043Y0,TIME 차이나AI테크액티브,19095,1.43,4903000000,253824
004310,현대약품,10450,4.81,165667000000,15046449
0182R0,1Q K반도체TOP2+,10235,-0.63,6982000000,675121
217590,티엠씨,13345,1.41,35779000000,2589262
010820,퍼스텍,6370,4.6,2623000000,414203
0183V0,KIWOOM 삼성전자&SK하이닉스채권혼합50,11605,-0.56,4722000000,405380
478150,TIME 글로벌우주테크&방산액티브,18485,1.82,2432000000,131617
035510,신세계 I&C,15700,2.75,2261000000,142531
028100,동아지질,19320,-1.73,2321000000,119165
004090,한국석유,11950,0.59,1439000000,121837
001210,금호전기,10730,-2.98,10698000000,987475
003010,혜인,9940,10.69,5725000000,578743
006660,삼성공조,12910,4.53,8154000000,616917
0198A0,KIWOOM 코스닥150커버드콜액티브,8525,0.47,2873000000,336886
003780,진양산업,4530,12.27,3693000000,826572
196170,알테오젠,254500,-0.39,22398000000,87341
086520,에코프로,82000,-0.24,9682000000,117194
247540,에코프로비엠,102800,-1.25,10625000000,102625
036930,주성엔지니어링,204000,0.99,109596000000,532917
277810,레인보우로보틱스,428500,1.18,8774000000,20635
039030,이오테크닉스,467500,-0.11,17018000000,36641
240810,원익IPS,116700,-2.26,47410000000,402114
058470,리노공업,66900,1.52,8285000000,124208
222800,심텍,128700,-1.53,18336000000,141132
108490,로보티즈,307500,-0.49,40777000000,133530
403870,HPSP,53800,0.75,28248000000,526047
028300,HLB,31600,-0.94,4079000000,128079
095340,ISC,187600,-2.24,10591000000,56525
000250,삼천당제약,160200,2.63,3745000000,23533
319660,피에스케이,124700,-3.71,11738000000,92574
031980,피에스케이홀딩스,164700,-1.26,9294000000,57966
214450,파마리서치,331500,0.15,11733000000,35029
087010,펩트론,146750,0.17,5402000000,36158
298380,에이비엘바이오,58500,1.04,7510000000,129019
440110,파두,62200,4.89,9068000000,146822
084370,유진테크,133900,-4.63,9143000000,67760
141080,리가켐바이오,82600,0.0,5108000000,61571
064760,티씨케이,269000,-0.37,4580000000,17090
145020,휴젤,230500,-0.22,2411000000,10474
131290,티에스이,249500,2.67,7018000000,28471
257720,실리콘투,42150,-1.4,13496000000,317119
310210,보로노이,141400,-0.42,3968000000,27739
095610,테스,134800,-0.66,8602000000,64245
226950,올릭스,112700,1.44,12382000000,107641
357780,솔브레인,328000,-1.5,1747000000,5291
067310,하나마이크론,37550,7.44,97218000000,2560239
080220,제주반도체,71900,0.56,25372000000,351001
010170,대한광통신,15910,-1.18,301399000000,18526345
319400,현대무벡스,21250,0.24,3157000000,148065
032820,우리기술,13360,3.41,47285000000,3539549
178320,서진시스템,35450,-1.25,11866000000,333112
058610,에스피지,97400,-0.81,11515000000,117818
347850,디앤디파마텍,46100,0.11,6851000000,147345
005290,동진쎄미켐,40600,-0.12,2645000000,65157
083650,비에이치아이,65000,2.85,10621000000,162191
030530,원익홀딩스,25300,0.0,20866000000,824140
041510,에스엠,84500,-2.87,4040000000,47244
237690,에스티팜,91500,1.22,1804000000,19708
098460,고영,27900,2.2,8323000000,300564
089030,테크윙,45500,-0.22,7556000000,164881
043260,성호전자,21425,15.44,248523000000,11538863
096530,씨젠,33150,2.16,4685000000,141400
437730,삼현,48050,-2.93,10587000000,218851
131970,두산테스나,78400,-0.13,6677000000,84615
183300,코미코,28200,1.08,2440000000,86903
036540,SFA반도체,8690,-2.58,19535000000,2212835
039200,오스코텍,36950,7.57,3667000000,101205
218410,RFHIC,52950,0.47,17646000000,330588
241710,코스메카코리아,129800,-4.84,7482000000,56373
323280,태성,45250,1.46,2485000000,54779
035900,JYP Ent.,38750,0.13,1338000000,34517
950160,코오롱티슈진,16180,1.89,3009000000,185777
078600,대주전자재료,85900,-1.38,2200000000,25437
089970,브이엠,51100,-1.54,8101000000,157806
082920,비츠로셀,29300,5.02,3804000000,132302
204270,제이앤티씨,22450,4.18,11666000000,514443
420770,기가비스,98100,-7.28,6332000000,63182
347700,스피어,23000,13.02,67937000000,3030471
252990,샘씨엔에스,16990,2.35,4374000000,261781
232140,와이씨,11920,0.25,7754000000,644996
086450,동국제약,20900,0.24,2143000000,103276
100790,미래에셋벤처투자,17170,4.7,20696000000,1219712
356860,티엘비,37250,-2.23,5816000000,154000
950260,인제니아테라퓨틱스(Reg.S),17430,11.09,34870000000,1987965
115180,큐리언트,22900,4.33,1345000000,58791
099320,쎄트렉아이,78100,4.55,2797000000,36139
119850,지엔씨에너지,51400,8.55,56020000000,1067697
014620,성광벤드,31850,-0.47,2430000000,76224
417200,LS머트리얼즈,12450,-2.43,9083000000,727123
327260,RF머트리얼즈,46900,5.99,59274000000,1238576
041830,인바디,60300,4.33,1617000000,27391
251970,펌텍코리아,63400,3.43,4720000000,73910
044490,태웅,37900,1.61,2614000000,69355
090360,로보스타,77300,0.65,2470000000,32034
213420,덕산네오룩스,30250,-2.26,1426000000,46942
032500,케이엠더블유,17860,-0.78,6031000000,337673
160190,하이젠알앤엠,24150,0.84,3116000000,128992
161580,필옵틱스,31750,1.44,7400000000,229924
295310,에이치브이엠,59900,12.38,23051000000,392797
476830,알지노믹스,26400,0.57,2690000000,101566
189300,인텔리안테크,68400,4.11,5597000000,81881
090710,휴림로봇,6150,0.99,1842000000,299388
425420,티에프이,59000,4.98,4237000000,72552
053800,안랩,65400,1.24,10089000000,149122
074600,원익QnC,27400,1.67,2549000000,92729
466100,클로봇,22900,0.22,1418000000,62226
491000,리브스메드,28050,2.56,2088000000,74502
041960,코미팜,9400,-4.57,1471000000,155664
059090,미코,20450,3.34,3088000000,152436
