code,거래대금,거래량,종가
103140,111.0,143433,77500
077970,122.0,488238,24800
004770,60.7,2758483,2125
399720,98.5,237958,40950
439960,60.1,496990,12010
100840,170.0,447521,37800
054920,59.7,1496654,3940
097950,79.5,44293,179700
077360,58.3,579485,10030
462900,58.1,447115,13050
012750,62.5,77157,81400
417030,57.7,198847,28700
004710,57.5,662526,8850
210980,57.4,1294513,4090
347700,56.6,281662,20050
090710,56.0,898683,6200
006220,55.2,534515,10350
053800,142.0,240025,59300
007340,74.1,159300,46800
452260,53.8,2059312,2680
265740,53.2,757280,7100
476830,85.0,320119,26500
170920,52.7,158317,33600
005440,66.1,495944,13400
490470,52.0,345520,15240
139130,58.8,319924,18450
489790,90.6,192606,47200
080580,50.6,238177,21100
0198A0,50.2,584134,8575
362320,50.1,1038861,4580
158430,48.9,1000502,4825
041190,48.7,877889,5560
138080,48.7,206104,23500
348210,67.4,211371,31550
117670,48.6,370767,13580
083450,92.3,202407,45600
351320,48.5,1227187,4010
114810,56.5,430415,12890
261780,48.0,1372619,3650
008770,72.8,176465,41100
281740,47.4,431760,10900
108320,57.2,159289,35950
017800,69.7,93915,74300
030000,53.8,284487,18910
017960,68.8,317899,21700
003380,45.6,398169,11460
082920,63.3,228173,27800
388210,66.2,92017,72300
469610,82.5,500127,16670
198440,44.3,2156838,2075
491000,44.0,134916,32550
348370,76.6,345842,22000
448100,43.3,38816,112590
004800,49.0,30812,160300
097230,42.4,264626,15990
003690,52.9,354669,14900
090360,101.0,130283,78000
007810,212.0,406408,51100
125490,41.5,389466,10610
014530,41.5,1183916,3415
192080,45.0,77881,58100
053690,41.1,176019,23550
091580,41.0,197857,20800
456160,63.1,192778,33000
014680,100.0,50196,200000
489460,40.7,334117,11790
001510,40.5,1673549,2405
466100,110.0,464416,23700
000440,40.3,281011,13200
441800,39.9,137958,29150
092870,39.8,135951,29550
033240,55.6,204781,27150
035000,39.5,647964,6160
464240,39.4,75698,51995
014280,39.4,822919,4525
289080,39.0,1482872,2605
140670,38.5,381163,10050
027050,38.4,2664559,1330
139480,56.1,76418,73700
280360,44.3,30469,142900
005180,50.4,56046,88800
111770,41.6,57568,72900
295310,55.5,114213,48200
052460,37.3,681897,5620
074600,52.9,201689,26200
251970,51.1,96126,52800
005850,48.0,92298,52200
475830,56.3,111783,51000
484810,35.5,270219,13010
417200,34.8,308114,11320
003000,34.7,872891,3970
125020,34.6,559915,6170
459550,34.3,1442957,2250
212560,34.1,303444,11090
081660,36.9,93185,39950
107640,68.1,163843,42200
048770,33.9,796883,4180
476060,86.0,568493,14950
458870,62.1,261140,24000
100790,33.3,207734,15960
010580,33.3,1312486,2560
007390,67.0,267392,25100
001740,33.0,521270,6390
047770,33.0,882044,3750
249420,164.0,1044793,15320
294570,107.0,367825,29700
126340,63.0,95289,66800
383310,32.8,142213,23100
007070,36.2,145351,25050
475230,32.3,291426,11170
222080,32.2,429639,7500
079160,31.8,582730,5450
