code,name,종가,등락률,거래대금,거래량
005930,삼성전자,253000,1.81,2865106000000,11389003
000660,SK하이닉스,1756000,3.91,4793153000000,2769950
402340,SK스퀘어,1017000,1.7,336386000000,334620
009150,삼성전기,1372000,4.18,576341000000,425698
373220,LG에너지솔루션,366500,0.27,110325000000,298838
005380,현대차,362500,-1.23,173020000000,478855
207940,삼성바이오로직스,1405000,-0.5,46869000000,33420
105560,KB금융,176800,0.57,174767000000,994394
028260,삼성물산,351500,1.3,82057000000,234114
032830,삼성생명,284000,-0.53,74252000000,261296
012450,한화에어로스페이스,1055000,-0.75,102987000000,97698
034020,두산에너빌리티,84000,-2.55,177573000000,2106414
055550,신한지주,112000,-0.18,87300000000,781286
000270,기아,121000,-0.66,63694000000,526987
329180,HD현대중공업,442000,-2.54,67674000000,151906
006400,삼성SDI,543000,-0.73,164352000000,301467
068270,셀트리온,177500,0.0,45698000000,257603
034730,SK,551000,0.18,53432000000,97739
086790,하나금융지주,137100,-0.36,77809000000,569501
012330,현대모비스,383000,-2.92,113637000000,296443
066570,LG전자,199500,-1.24,76685000000,385345
035420,NAVER,201500,-2.18,105222000000,521923
010120,LS ELECTRIC,198300,1.85,79327000000,401341
000810,삼성화재,659000,-0.3,40681000000,61746
316140,우리금융지주,36300,-0.14,78699000000,2182722
298040,효성중공업,2799000,4.09,108706000000,39084
005490,POSCO홀딩스,326500,-1.66,50993000000,155655
267260,HD현대일렉트릭,708000,1.14,68484000000,96821
042660,한화오션,81700,-0.85,38624000000,472778
010130,고려아연,1137000,-0.09,12646000000,11181
009540,HD한국조선해양,332500,-1.92,54485000000,163299
096770,SK이노베이션,136600,-3.6,70314000000,507964
000150,두산,1381000,7.14,115121000000,85005
042700,한미반도체,225500,1.35,109141000000,493876
015760,한국전력,31000,-1.12,33220000000,1071439
011200,HMM,20400,-1.21,15494000000,758418
051910,LG화학,271000,-0.18,46521000000,170314
017670,SK텔레콤,88100,0.11,51381000000,586442
010140,삼성중공업,20350,-1.69,46252000000,2274530
033780,KT&G,171700,0.53,22318000000,130255
006800,미래에셋증권,31800,-0.78,22025000000,693720
267250,HD현대,217500,-3.33,31517000000,144157
003550,LG,112900,-1.22,36150000000,321204
018260,삼성에스디에스,217500,-1.36,23651000000,109168
003670,포스코퓨처엠,188100,-0.63,55193000000,291959
010950,S-Oil,143600,-3.43,38694000000,265202
024110,기업은행,20250,-0.49,16097000000,795621
086280,현대글로비스,200500,-1.96,35899000000,178340
035720,카카오,33700,-2.32,53658000000,1591071
079550,LIG디펜스앤에어로스페이스,667000,-0.6,24263000000,36390
000720,현대건설,123600,-3.51,56890000000,456643
030200,KT,52900,-0.19,5263000000,99439
278470,에이피알,351000,-2.9,92792000000,263739
064350,현대로템,119400,-1.65,29511000000,246819
