code,name,종가,등락률,거래대금,거래량
005930,삼성전자,254750,0.49,1619273000000,6365554
000660,SK하이닉스,1760000,0.06,2900292000000,1654122
402340,SK스퀘어,1021000,0.1,187796000000,183574
009150,삼성전기,1350000,-2.24,290582000000,212805
373220,LG에너지솔루션,366500,-0.14,36116000000,99156
005380,현대차,363000,0.28,83539000000,231537
207940,삼성바이오로직스,1393000,-1.14,23366000000,16678
105560,KB금융,179900,1.81,98961000000,550794
028260,삼성물산,357500,1.13,42141000000,117684
012450,한화에어로스페이스,1107000,4.93,99188000000,90701
032830,삼성생명,284500,0.35,37181000000,130191
034020,두산에너빌리티,86450,3.16,98963000000,1157567
055550,신한지주,113500,1.25,47934000000,423453
329180,HD현대중공업,475500,7.95,93813000000,200895
000270,기아,120700,0.0,41959000000,349633
006400,삼성SDI,539000,-0.92,57756000000,106812
068270,셀트리온,180200,1.69,37782000000,209007
034730,SK,544000,-1.27,34957000000,64041
086790,하나금융지주,138100,1.02,50292000000,362689
012330,현대모비스,384500,0.39,55248000000,144389
066570,LG전자,199250,-0.37,42024000000,210990
035420,NAVER,202000,0.25,36196000000,179605
010120,LS ELECTRIC,202500,1.55,36333000000,180640
000810,삼성화재,666000,0.76,17919000000,26706
298040,효성중공업,2894000,3.14,66795000000,23536
316140,우리금융지주,36350,0.14,37197000000,1022805
005490,POSCO홀딩스,327500,0.31,21409000000,65464
042660,한화오션,84500,3.94,36720000000,439701
267260,HD현대일렉트릭,712000,0.71,29125000000,41109
009540,HD한국조선해양,353000,6.17,35519000000,102647
096770,SK이노베이션,141400,3.74,51057000000,368204
010130,고려아연,1134000,0.0,6301000000,5558
000150,두산,1448000,4.4,171416000000,118320
042700,한미반도체,226250,0.11,40550000000,180308
015760,한국전력,31025,0.57,14523000000,468771
011200,HMM,20600,1.23,5877000000,285368
010140,삼성중공업,21700,7.43,70701000000,3309879
051910,LG화학,267500,-1.29,19097000000,71212
017670,SK텔레콤,87900,-0.23,24149000000,275377
033780,KT&G,172500,0.29,18027000000,104223
267250,HD현대,226500,5.1,14847000000,66637
006800,미래에셋증권,32050,0.94,14070000000,438939
010950,S-Oil,152500,5.83,33786000000,224378
003550,LG,112800,0.53,10634000000,94061
018260,삼성에스디에스,217000,-0.23,10053000000,45984
003670,포스코퓨처엠,183900,-2.28,25445000000,138358
024110,기업은행,20200,0.0,6221000000,307469
079550,LIG디펜스앤에어로스페이스,712000,6.91,67807000000,95858
086280,현대글로비스,205000,2.24,14737000000,71683
035720,카카오,33850,1.04,23376000000,692726
272210,한화시스템,78500,14.1,63599000000,847021
000720,현대건설,126900,2.09,34923000000,274644
064350,현대로템,123400,3.26,21070000000,171818
030200,KT,53200,0.76,4677000000,87898
278470,에이피알,352000,-0.28,55852000000,156466
047810,한국항공우주,131400,5.04,24548000000,187627
005830,DB손해보험,192000,2.67,25433000000,130934
011070,LG이노텍,512000,-0.58,27553000000,53445
003490,대한항공,29450,1.38,32899000000,1116854
443060,HD현대마린솔루션,241000,1.9,9577000000,39802
078930,GS,114100,1.88,27407000000,240712
071050,한국금융지주,186700,-0.11,13572000000,72684
047050,포스코인터내셔널,58800,7.3,39970000000,688566
307950,현대오토에버,368000,1.38,4117000000,11251
028050,삼성E&A,51200,1.39,34846000000,683061
323410,카카오뱅크,20850,0.24,5207000000,249851
003230,삼양식품,1290000,2.3,30955000000,23973
005940,NH투자증권,25700,1.18,5104000000,198953
006260,LS,303000,-0.16,11638000000,38448
259960,크래프톤,204000,0.49,4509000000,22084
180640,한진칼,137800,1.62,4296000000,31130
090430,아모레퍼시픽,143100,-1.04,13404000000,92441
0126Z0,삼성에피스홀딩스,333500,1.99,4483000000,13387
007660,이수페타시스,111500,3.62,50610000000,445553
016360,삼성증권,86500,1.05,8710000000,101024
000500,가온전선,258500,3.61,50133000000,194143
047040,대우건설,18720,0.81,47129000000,2519398
021240,코웨이,106700,-0.65,4872000000,45342
000880,한화,139800,1.53,6500000000,46681
161390,한국타이어앤테크놀로지,59000,2.08,6131000000,104350
352820,하이브,166700,-1.88,18148000000,108018
039490,키움증권,265500,-0.56,12390000000,46678
267270,HD건설기계,143700,7.56,33368000000,231952
064400,LG씨엔에스,69900,0.29,13610000000,194097
128940,한미약품,521000,3.78,66307000000,127312
009830,한화솔루션,28550,0.18,15776000000,552023
032640,LG유플러스,14590,-0.41,4448000000,304505
062040,산일전기,202500,3.16,28142000000,140856
326030,SK바이오팜,78800,0.77,3630000000,46158
175330,JB금융지주,32200,-2.28,6036000000,185625
241560,두산밥캣,61300,3.2,3227000000,52844
000100,유한양행,77200,-0.13,5650000000,72966
001440,대한전선,28600,2.51,19738000000,695321
377300,카카오페이,40175,-0.8,7226000000,179881
000990,DB하이텍,125500,0.4,65532000000,515124
052690,한전기술,139200,2.81,45947000000,332500
088350,한화생명,6050,3.6,26013000000,4246397
353200,대덕전자,101600,-0.1,41029000000,398821
138930,BNK금융지주,15840,-1.55,6577000000,412996
088980,맥쿼리인프라,9770,0.41,3201000000,327359
004020,현대제철,34350,-0.72,15958000000,463298
454910,두산로보틱스,69500,2.66,7327000000,106561
066970,엘앤에프,109800,-1.08,32619000000,300637
271560,오리온,113200,1.62,2927000000,25913
082740,한화엔진,53400,11.13,81785000000,1572117
051900,LG생활건강,295000,-2.16,8189000000,27287
036570,NC,204000,1.49,5541000000,27235
011790,SKC,87100,1.63,3996000000,45984
034220,LG디스플레이,8440,-0.35,10981000000,1305361
001450,현대해상,49400,1.86,12625000000,253949
002380,KCC,469000,0.64,5682000000,12048
001040,CJ,132500,1.15,8683000000,65596
010060,OCI홀딩스,202000,-0.49,13915000000,69059
008930,한미사이언스,51300,0.39,4038000000,77836
161890,한국콜마,145600,-2.93,23127000000,154495
018880,한온시스템,3335,-0.3,3675000000,1103130
103590,일진전기,70900,0.71,10726000000,152755
375500,DL이앤씨,86400,-0.92,12547000000,143890
004170,신세계,353500,-2.35,20804000000,58327
336260,두산퓨얼셀,50800,-0.97,15454000000,302971
023530,롯데쇼핑,115800,-2.36,10972000000,93916
006360,GS건설,36600,-0.27,15921000000,434207
028670,팬오션,5850,0.86,7382000000,1256455
192820,코스맥스,271500,-3.21,16789000000,60034
011780,금호석유화학,121700,0.58,4433000000,36552
017800,현대엘리베이터,73800,1.37,4158000000,56250
007340,DN오토모티브,48800,5.4,3239000000,68202
085620,미래에셋생명,20250,4.49,2389000000,118743
011170,롯데케미칼,63000,-1.72,7605000000,122192
097950,CJ제일제당,176900,0.11,6553000000,37268
426030,TIME 미국나스닥100액티브,45685,2.69,20413000000,448355
450080,에코프로머티,35300,-0.14,4112000000,117079
009420,한올바이오파마,47900,0.31,4803000000,100132
004370,농심,392000,-1.51,8059000000,20460
014680,한솔케미칼,216500,0.93,7275000000,33791
204320,HL만도,48150,-0.52,5879000000,122279
112610,씨에스윈드,52300,-0.38,6666000000,128031
103140,풍산,78700,2.47,4948000000,63501
069960,현대백화점,100700,2.76,6373000000,63655
483650,달바글로벌,173000,8.06,28201000000,164978
051600,한전KPS,47550,1.6,3524000000,74297
020150,롯데에너지머티리얼즈,39400,1.29,3032000000,77042
456600,TIME 글로벌AI인공지능액티브,57060,1.57,3099000000,54479
073240,금호타이어,7060,0.43,2480000000,352741
139480,이마트,73200,-0.14,2857000000,39138
030000,제일기획,17330,-1.25,7694000000,444751
457190,이수스페셜티케미컬,64800,0.78,2033000000,31519
181710,NHN,56900,6.55,12236000000,214730
294400,KIWOOM 200TR,140720,0.8,5928000000,42250
071970,HD현대마린엔진,52300,7.28,8970000000,175242
089860,롯데렌탈,47900,-0.52,2499000000,52329
475150,SK이터닉스,49500,1.43,12038000000,243776
001120,LX인터내셔널,42425,1.86,4735000000,112396
001430,세아베스틸지주,45600,5.43,8809000000,194543
229640,LS에코에너지,53500,-5.48,9448000000,175818
120110,코오롱인더,54800,1.86,4271000000,77677
093370,후성,14970,3.03,44450000000,2963002
001820,삼화콘덴서,140200,-2.57,60977000000,429453
097230,HJ중공업,15840,5.32,3174000000,203810
281820,케이씨텍,71700,1.7,4090000000,58232
322000,HD현대에너지솔루션,122300,1.92,12174000000,100447
005070,코스모신소재,40750,-2.04,2234000000,55138
361610,SK아이이테크놀로지,16300,3.03,3422000000,213379
007810,코리아써키트,52000,2.16,4187000000,81990
192080,더블유게임즈,58600,2.45,1526000000,26087
017960,한국카본,21650,3.59,2297000000,107534
006340,대원전선,12990,1.96,12589000000,970790
003530,한화투자증권,4660,1.53,2427000000,526058
077970,STX엔진,24500,7.69,4569000000,189183
000370,한화손해보험,8380,3.71,4525000000,537400
195870,해성디에스,55400,-3.48,5553000000,100655
006110,삼아알미늄,62000,6.9,6191000000,101145
003160,디아이,31325,-0.24,9166000000,289241
005090,SGC에너지,55400,3.94,3636000000,65917
100840,SNT에너지,37350,-2.23,6800000000,182352
069660,KIWOOM 200,107185,0.8,8366000000,78200
100090,SK오션플랜트,12050,0.67,2986000000,249537
005690,파미셀,12370,6.36,31172000000,2541425
456040,OCI,75700,3.56,2334000000,31705
090460,비에이치,19840,5.93,15718000000,805112
006650,대한유화,97200,-3.67,2958000000,30332
079900,전진건설로봇,41000,4.86,2660000000,65272
0015B0,KoAct 미국나스닥성장기업액티브,18530,2.55,3029000000,164243
017900,광전자,10260,-1.91,56213000000,5363593
016380,KG스틸,5680,1.25,1571000000,277136
0220W0,한화머시너리앤서비스홀딩스,6630,-0.9,6251000000,926843
001510,SK증권,2390,2.36,2680000000,1134426
452260,한화갤러리아,2645,1.34,2566000000,976672
004710,한솔테크닉스,9630,8.08,9392000000,994090
192650,드림텍,7760,9.14,34082000000,4389417
