code,name,종가,등락률,거래대금,거래량
005930,삼성전자,281750,2.83,843533000000,2996217
000660,SK하이닉스,1933000,3.48,1111422000000,577661
402340,SK스퀘어,1164000,3.28,124527000000,106687
009150,삼성전기,1543000,7.98,431103000000,283780
373220,LG에너지솔루션,354000,0.57,12579000000,35393
005380,현대차,365000,1.67,27066000000,73924
207940,삼성바이오로직스,1403000,0.07,4197000000,2994
105560,KB금융,175300,-1.24,23173000000,131720
028260,삼성물산,372000,1.22,19142000000,50973
032830,삼성생명,295000,1.37,11910000000,40116
012450,한화에어로스페이스,1069000,0.19,11575000000,10859
034020,두산에너빌리티,86200,1.06,39680000000,460464
055550,신한지주,112900,-0.18,12634000000,111722
329180,HD현대중공업,450000,-0.11,9108000000,20216
000270,기아,120700,0.58,12627000000,104202
006400,삼성SDI,537000,0.75,18959000000,35294
034730,SK,587000,2.09,8692000000,14823
068270,셀트리온,180000,-0.77,12973000000,71766
086790,하나금융지주,134500,-0.88,8923000000,66079
066570,LG전자,212000,4.69,64147000000,301566
012330,현대모비스,380000,1.88,15144000000,39937
010120,LS ELECTRIC,217000,3.83,34813000000,161095
035420,NAVER,203000,2.58,24678000000,121905
000810,삼성화재,654000,0.46,6384000000,9785
298040,효성중공업,2985000,2.33,28223000000,9483
316140,우리금융지주,36000,-1.23,14026000000,389456
267260,HD현대일렉트릭,734000,2.8,9816000000,13411
005490,POSCO홀딩스,319000,0.63,9029000000,28270
042660,한화오션,82400,0.73,5253000000,63807
000150,두산,1503000,4.96,35926000000,24156
009540,HD한국조선해양,341500,0.74,5684000000,16588
010130,고려아연,1126000,0.27,3711000000,3269
096770,SK이노베이션,138200,-1.78,27605000000,198089
042700,한미반도체,243000,2.75,22252000000,91653
011200,HMM,21100,0.0,1131000000,53503
015760,한국전력,30950,0.32,6996000000,226369
017670,SK텔레콤,88300,1.49,18136000000,204831
006800,미래에셋증권,34100,6.73,26920000000,793221
010140,삼성중공업,20700,0.49,6622000000,320011
051910,LG화학,257500,-0.39,7204000000,27836
033780,KT&G,172800,-0.58,3799000000,21930
018260,삼성에스디에스,227000,1.11,4754000000,20906
003550,LG,113700,2.16,4108000000,36049
010950,S-Oil,150400,-2.27,13149000000,86607
267250,HD현대,212000,0.47,6270000000,29868
024110,기업은행,20100,0.5,1829000000,91232
003670,포스코퓨처엠,178600,0.28,4410000000,24637
079550,LIG디펜스앤에어로스페이스,707000,-2.48,9455000000,13235
086280,현대글로비스,202500,-0.25,3083000000,15174
035720,카카오,34250,3.16,18691000000,548875
272210,한화시스템,76300,-0.26,5502000000,72127
000720,현대건설,127700,1.67,15872000000,122734
278470,에이피알,364000,-0.55,15507000000,42727
030200,KT,53300,0.38,1695000000,31713
011070,LG이노텍,553000,6.55,41538000000,75578
064350,현대로템,118900,0.08,4339000000,36454
047810,한국항공우주,130500,0.69,2477000000,18957
005830,DB손해보험,184800,-1.86,6155000000,33241
003490,대한항공,29675,2.86,13140000000,445590
071050,한국금융지주,190500,3.31,13678000000,72025
443060,HD현대마린솔루션,234500,0.43,1367000000,5832
006260,LS,333500,3.41,8754000000,26308
307950,현대오토에버,378000,4.71,6161000000,16296
078930,GS,109700,-3.18,7403000000,66240
028050,삼성E&A,51800,-0.38,24096000000,458967
000500,가온전선,340000,6.75,70920000000,209912
047050,포스코인터내셔널,57000,-1.38,5148000000,90003
005940,NH투자증권,26700,1.52,3071000000,115149
323410,카카오뱅크,20250,0.75,1401000000,69074
003230,삼양식품,1260000,-1.25,9081000000,7200
180640,한진칼,141200,1.95,812000000,5782
259960,크래프톤,201000,0.5,1935000000,9600
007660,이수페타시스,117500,6.53,49433000000,422925
090430,아모레퍼시픽,144000,-0.69,3050000000,21206
0126Z0,삼성에피스홀딩스,335000,2.45,1184000000,3549
