code,name,종가,등락률,거래대금,거래량
005930,삼성전자,277500,1.28,4193532000000,14998419
000660,SK하이닉스,1852000,-0.86,5084618000000,2680436
402340,SK스퀘어,1144000,1.51,575148000000,497380
009150,삼성전기,1481000,3.64,1236562000000,819727
373220,LG에너지솔루션,349000,-0.85,81235000000,231352
005380,현대차,361000,0.56,149719000000,410816
207940,삼성바이오로직스,1390000,-0.86,33267000000,23836
105560,KB금융,175800,-0.96,93805000000,533820
028260,삼성물산,366000,-0.41,88647000000,241360
032830,삼성생명,290000,-0.34,58128000000,199097
034020,두산에너빌리티,86500,1.41,231968000000,2681668
012450,한화에어로스페이스,1058000,-0.84,78163000000,73651
055550,신한지주,113200,0.09,72115000000,638521
329180,HD현대중공업,454000,0.78,60343000000,133165
000270,기아,118300,-1.42,79007000000,659683
034730,SK,591000,2.78,56996000000,97046
006400,삼성SDI,528000,-0.94,95646000000,179656
068270,셀트리온,178400,-1.65,52422000000,292154
086790,하나금융지주,135800,0.07,55598000000,411125
066570,LG전자,215500,6.42,318854000000,1478252
012330,현대모비스,371500,-0.4,87248000000,230792
010120,LS ELECTRIC,211500,1.2,82087000000,382433
035420,NAVER,201000,1.57,86786000000,429448
000810,삼성화재,651000,0.0,40251000000,62072
298040,효성중공업,2910000,-0.24,89353000000,30203
316140,우리금융지주,35800,-1.78,46472000000,1296946
267260,HD현대일렉트릭,714000,0.0,48158000000,66568
005490,POSCO홀딩스,316750,-0.08,44335000000,139550
042660,한화오션,81600,-0.24,29963000000,365726
009540,HD한국조선해양,339500,0.15,37805000000,110705
000150,두산,1481000,3.42,121286000000,81900
096770,SK이노베이션,141500,0.57,90424000000,646014
010130,고려아연,1108000,-1.34,17396000000,15499
042700,한미반도체,239500,1.27,112142000000,463445
011200,HMM,21150,0.24,6144000000,291867
015760,한국전력,30900,0.16,31178000000,1008889
017670,SK텔레콤,87100,0.11,63060000000,719939
033780,KT&G,175500,0.98,46661000000,271484
010140,삼성중공업,20550,-0.24,28612000000,1386213
051910,LG화학,254500,-1.55,39749000000,155129
006800,미래에셋증권,32750,2.5,61780000000,1844951
003550,LG,116900,5.03,25607000000,220124
018260,삼성에스디에스,225500,0.45,21033000000,92933
010950,S-Oil,154400,0.32,59197000000,390812
003670,포스코퓨처엠,184200,3.43,49373000000,270074
267250,HD현대,207500,-1.66,24276000000,116453
024110,기업은행,20000,0.0,11200000000,559407
079550,LIG디펜스앤에어로스페이스,707000,-2.48,38527000000,53964
086280,현대글로비스,203250,0.12,27582000000,135716
035720,카카오,34125,2.79,46039000000,1350055
272210,한화시스템,77800,1.7,30271000000,392104
000720,현대건설,131400,4.62,126145000000,961360
278470,에이피알,361000,-1.37,65189000000,179927
030200,KT,53100,0.0,10933000000,205802
064350,현대로템,117900,-0.76,24865000000,209585
011070,LG이노텍,542000,4.43,110785000000,202040
047810,한국항공우주,129900,0.23,13911000000,106897
005830,DB손해보험,185500,-1.49,23039000000,124953
003490,대한항공,31250,8.32,190512000000,6218334
443060,HD현대마린솔루션,242500,3.85,12793000000,53781
307950,현대오토에버,385000,6.65,45548000000,117399
071050,한국금융지주,185700,0.7,33658000000,179034
078930,GS,110400,-2.56,55921000000,510536
006260,LS,326500,1.24,33807000000,102199
028050,삼성E&A,51300,-1.35,71754000000,1382895
047050,포스코인터내셔널,56900,-1.56,24632000000,432214
005940,NH투자증권,26150,-0.57,13709000000,520245
323410,카카오뱅크,20175,0.37,15343000000,760177
000500,가온전선,321500,0.94,130400000000,390654
180640,한진칼,142300,2.74,6085000000,42808
003230,삼양식품,1247000,-2.27,62788000000,50095
259960,크래프톤,202000,1.0,9288000000,45967
0126Z0,삼성에피스홀딩스,332500,1.68,9146000000,27271
090430,아모레퍼시픽,141800,-2.21,23053000000,161920
007660,이수페타시스,112300,1.81,108693000000,939786
016360,삼성증권,90600,2.72,34757000000,382962
047040,대우건설,18880,3.23,160136000000,8435670
161390,한국타이어앤테크놀로지,57200,-2.39,12916000000,223886
000880,한화,132700,1.07,7141000000,54065
021240,코웨이,99500,0.0,10983000000,110735
064400,LG씨엔에스,71000,2.16,37077000000,520791
039490,키움증권,261500,-1.13,17866000000,67535
352820,하이브,156300,-3.82,50910000000,320422
267270,HD건설기계,137900,0.88,34375000000,243838
128940,한미약품,502000,-0.59,25663000000,51080
062040,산일전기,205500,0.24,45939000000,219295
001440,대한전선,31600,6.4,278211000000,8619852
009830,한화솔루션,27550,-0.18,23800000000,862112
032640,LG유플러스,14570,0.55,13030000000,892711
326030,SK바이오팜,76800,-1.03,6069000000,78510
175330,JB금융지주,30700,-0.97,11904000000,393557
000990,DB하이텍,131100,-0.61,64337000000,489352
241560,두산밥캣,58200,0.17,7134000000,122674
353200,대덕전자,112200,10.11,317033000000,2737643
377300,카카오페이,40950,2.63,11963000000,288985
000100,유한양행,74700,-1.19,12016000000,160332
052690,한전기술,137400,6.02,253455000000,1867059
029780,삼성카드,42700,-1.27,5986000000,139766
088350,한화생명,5600,-3.11,21875000000,3869591
036570,NC,224000,8.47,23864000000,109738
138930,BNK금융지주,15610,-0.89,7120000000,456753
004020,현대제철,35550,1.28,21859000000,614641
088980,맥쿼리인프라,9820,0.41,5453000000,556639
454910,두산로보틱스,70850,1.8,20273000000,284556
051900,LG생활건강,297000,-0.67,14906000000,49942
066970,엘앤에프,108700,1.12,48393000000,444945
011790,SKC,88500,0.57,10908000000,122119
271560,오리온,110900,-0.27,9946000000,89945
034220,LG디스플레이,8470,-0.59,22016000000,2586409
082740,한화엔진,49300,-1.2,30722000000,620541
001450,현대해상,47600,-3.05,18709000000,394130
002380,KCC,467000,0.43,9665000000,20595
