code,name,종가,등락률,거래대금,거래량
005930,삼성전자,253250,-0.1,488305000000,1908951
000660,SK하이닉스,1741000,-1.02,947216000000,538100
402340,SK스퀘어,1018000,-0.2,70129000000,68394
009150,삼성전기,1355000,-1.88,113379000000,81973
373220,LG에너지솔루션,362000,-1.36,9985000000,27466
005380,현대차,359000,-0.83,23260000000,64406
207940,삼성바이오로직스,1411000,0.14,4311000000,3048
105560,KB금융,180700,2.26,30331000000,169861
028260,삼성물산,356000,0.71,17682000000,49044
032830,삼성생명,287500,1.41,9505000000,33141
012450,한화에어로스페이스,1102000,4.45,28006000000,25856
034020,두산에너빌리티,85200,1.67,31585000000,372960
055550,신한지주,113900,1.61,14474000000,128359
329180,HD현대중공업,460500,4.54,21331000000,46702
000270,기아,119800,-0.75,9172000000,76022
006400,삼성SDI,537000,-1.29,18471000000,34071
068270,셀트리온,180400,1.81,9618000000,53487
034730,SK,544000,-1.27,10020000000,18297
086790,하나금융지주,139200,1.83,13449000000,97242
012330,현대모비스,380500,-0.65,12185000000,31854
066570,LG전자,199100,-0.45,13230000000,66279
035420,NAVER,201500,0.0,7599000000,37675
000810,삼성화재,680000,2.87,5274000000,7864
010120,LS ELECTRIC,199500,0.05,13640000000,67796
316140,우리금융지주,36600,0.83,11037000000,304440
298040,효성중공업,2776000,-1.07,13594000000,4871
005490,POSCO홀딩스,325500,-0.31,6249000000,19114
042660,한화오션,82900,1.97,10284000000,124215
267260,HD현대일렉트릭,704000,-0.42,8491000000,11997
009540,HD한국조선해양,344000,3.46,11625000000,34010
010130,고려아연,1132000,-0.18,1620000000,1429
096770,SK이노베이션,138200,1.39,15549000000,113708
000150,두산,1438000,3.68,26545000000,18631
042700,한미반도체,223500,-1.11,15348000000,68095
015760,한국전력,30975,0.41,3790000000,122509
011200,HMM,20650,1.47,1857000000,90272
051910,LG화학,267000,-1.48,4679000000,17379
017670,SK텔레콤,87500,-0.68,6649000000,75642
010140,삼성중공업,21000,3.96,10657000000,512692
033780,KT&G,173000,0.58,2810000000,16288
267250,HD현대,222000,3.02,3236000000,14650
006800,미래에셋증권,32000,0.79,4543000000,141249
003550,LG,114200,1.78,2275000000,19989
018260,삼성에스디에스,220000,1.15,2445000000,11135
010950,S-Oil,152000,5.48,13077000000,87669
003670,포스코퓨처엠,183800,-2.34,7411000000,39803
024110,기업은행,20400,0.99,1555000000,76792
079550,LIG디펜스앤에어로스페이스,718000,7.81,21511000000,30836
086280,현대글로비스,204500,2.0,2998000000,14679
035720,카카오,33700,0.6,5619000000,166193
